Growth rate,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax,Smax/Var,Cross correlation
0.0,0.046153121720498874,0.12376710044231284,-0.07761397872181397,0.15423540986468703,0.023788561656127995,0.5908453627069387,0.47206676466183667,0.38039571242748094,0.9218158622749766,0.9832335916203354,0.8645548311633731,0.8966043551558742,0.10339564484412586,4.784779693805506e-19,0.0,"{'sigma': 0.068906689156118, 'lam': -0.4185751730065803}","{'sigma': 0.024277585792095824, 'mu': -0.07583022341524503, 'w0': 0.2240410106435921, 'delta': 6.037170763306676e-12, 'psi': 0.2}",{'sigma': 0.07399938781940858},0.004729179461555691,0.19880056347742414,0.7430739378897886
0.01,0.18588536482638562,0.159070252234068,0.026815112592317614,0.16191814231824447,0.026217484811791272,0.6097409909732745,0.46981740934074123,0.3924589499611015,0.7987244364493304,0.6559427456898316,0.07648776701506123,0.9999999999934388,6.560870588684625e-12,2.3766183785420103e-16,0.001981438628927817,"{'sigma': 0.07598079693118441, 'lam': -0.5199250232673376}","{'sigma': 0.027203387737855467, 'mu': -0.1190865674455257, 'w0': 0.351842230606656, 'delta': 3.9519809647003967e-10, 'psi': 0.2}",{'sigma': 0.07250237773144767},0.003962877257855634,0.15115398316444664,0.7598051831759982
0.02,0.19492293030628083,0.1542535762159646,0.04066935409031622,0.1815298219266414,0.03295307624871814,0.6640749000485722,0.5811772786679744,0.47481158707240956,0.8212151587420359,0.8320278792193831,0.7182904015138069,8.811562764837693e-12,0.9999999999911884,4.154368548162249e-24,0.0032440478126187283,"{'sigma': 0.0729859003066994, 'lam': -0.4066096094323668}","{'sigma': 0.026301893642501906, 'mu': -0.0734022129292018, 'w0': 0.21686743396938393, 'delta': 2.2390977960640157e-11, 'psi': 0.2}",{'sigma': 0.0788376466878859},0.006488095625237457,0.19688892096955107,0.7998403827087193
0.03,0.23602920484627116,0.302610917695079,-0.06658171284880782,0.17672497192404385,0.03123171570155409,0.6339703120794024,0.5295744985720778,0.421016954973473,0.7421844208086465,0.7976015785699802,1.030144463562514,0.9999999999924607,7.539298541225983e-12,6.103519744505754e-17,0.0028872818705080344,"{'sigma': 0.08055846545124218, 'lam': -0.45366415452051534}","{'sigma': 0.030603373415791113, 'mu': -0.11487112224300366, 'w0': 0.33938766401364673, 'delta': 8.722154110074598e-10, 'psi': 0.2}",{'sigma': 0.08156698722534514},0.005774563741016069,0.18489422086820312,0.7843777499020885
0.04,1.0520271688366698,0.6984938000974276,0.35353336873924224,0.2180325323096434,0.04753818514535569,0.7153578499867925,0.6288490823787035,0.5425630326310742,0.46584733548705093,0.42056728816055255,0.6406805925820847,1.3412607352166479e-08,0.9999999865873928,4.724769191509007e-24,0.004529602533826182,"{'sigma': 0.08102533188441717, 'lam': -0.36646810388687756}","{'sigma': 0.030839914520033096, 'mu': -0.07280802423669153, 'w0': 0.21511189863294392, 'delta': 1.3413714583521141e-12, 'psi': 0.2}",{'sigma': 0.09236625643695784},0.009059205067652364,0.19056691036799953,0.9054705941152521
0.05,0.8705754425226899,0.7946691579985091,0.0759062845241808,0.21343388149837458,0.04555402177146221,0.7311501796802377,0.6475727851077967,0.5606669223059623,0.5446867043344049,0.17291400541830285,-0.11661564647869732,2.0967681550768957e-09,0.9999999979032319,2.8590897144994466e-25,0.0041620575911941815,"{'sigma': 0.0813663586125788, 'lam': -0.3827372317382065}","{'sigma': 0.030619585981323416, 'mu': -0.07415366099790499, 'w0': 0.2190875934976186, 'delta': 1.317090880803562e-10, 'psi': 0.2}",{'sigma': 0.08905954421040695},0.008324115182388363,0.1827306318671317,0.9395510105474808
0.06,1.04604468997749,1.228553925719401,-0.1825092357419109,0.257074904263296,0.06608750640198278,0.7862181714784833,0.721402512538129,0.6486785515712513,0.26039353692095096,0.133725915074906,-0.14464267426239452,1.0125358123666583e-14,0.9999999999999898,7.985174490643078e-28,0.006083989045054554,"{'sigma': 0.08728958531696705, 'lam': -0.35315228139880706}","{'sigma': 0.0331201382082813, 'mu': -0.07022897587794175, 'w0': 0.20749207935197161, 'delta': 3.1903146791023573e-11, 'psi': 0.2}",{'sigma': 0.09966408862671566},0.012167978090109109,0.18411918912625277,0.9678678002173314
0.07,0.8303635215219326,0.997198989482759,-0.16683546796082638,0.316651989099963,0.10026848220096309,0.8437837500217018,0.7797698026690193,0.7320778569662504,0.14506804736579237,0.0683311334048613,1.5150452022820902,1.5068800972359556e-22,1.0,7.204659867631773e-35,0.009886631382573998,"{'sigma': 0.09860340512489658, 'lam': -0.3110039447057944}","{'sigma': 0.040108807408830716, 'mu': -0.06842729764023248, 'w0': 0.2021690063469142, 'delta': 5.408562486763913e-12, 'psi': 0.2}",{'sigma': 0.11727201520921622},0.019773262765147997,0.19720317223429631,0.9670268011466279
0.08,5.800434467664259,5.955569683066813,-0.15513521540255315,0.2509678481185832,0.06298486078927223,0.7570193614275046,0.6842371037329266,0.5952727017730373,0.053549747496513096,-0.17336542089399284,-0.0012036241415148753,6.783298196849293e-13,0.9999999999993217,5.724849436870036e-27,0.0060030085079664525,"{'sigma': 0.09396066318140031, 'lam': -0.3786142308108964}","{'sigma': 0.035117557402349675, 'mu': -0.07257983430352488, 'w0': 0.21443770965993983, 'delta': 3.8226088960868765e-11, 'psi': 0.2}",{'sigma': 0.10307274597148165},0.012006017015932905,0.19061750499221242,0.944725225772663
0.09,7.45392587588925,7.163147837255991,0.2907780386332588,0.24760921015468004,0.06131032095342451,0.7463195381483314,0.6423781706149423,0.5820813023978243,0.03536909230748367,-0.15086413269815838,0.8547623699014216,5.248619365284264e-07,0.9999994751380635,1.4300075900418065e-22,0.005213201867576589,"{'sigma': 0.08656442334253657, 'lam': -0.3660150401335942}","{'sigma': 0.03252035667549236, 'mu': -0.07215373834127248, 'w0': 0.21317880567444697, 'delta': 3.207212273537152e-11, 'psi': 0.2}",{'sigma': 0.09935577867916852},0.010426403735153179,0.17005951971893582,0.9563059304723384
0.1,9.513851586808615,9.398198464113483,0.11565312269513228,0.2410277890647227,0.058094395101428456,0.7393184381308318,0.6317614861464816,0.5692373186860863,0.02535320623448741,0.09643225151603461,0.4656396039114233,0.001666312732588269,0.9983336872674117,1.455544986085361e-21,0.0,"{'sigma': 0.08593259557776352, 'lam': -0.3450404669340239}","{'sigma': 0.033438980295324994, 'mu': -0.0721662732235353, 'w0': 0.21321584006014005, 'delta': 6.366907001620348e-12, 'psi': 0.2}",{'sigma': 0.10108908404257895},0.010910763240786693,0.18781094495841327,0.9425111235322856
