Growth rate,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax,Smax/Var,Cross correlation
0.0,0.024067741403446613,0.11291189154620614,-0.08884415014275952,0.14651785612623805,0.021467482163828995,0.8327633685130622,0.6637413564602178,0.5099617820535819,0.9443050269884263,1.3010442486612865,2.1963045273663346,3.4932214370561005e-11,0.9999999999650677,5.56683090419082e-29,0.0,"{'sigma': 0.06596108161077179, 'lam': -0.3745274228639661}","{'sigma': 0.025561917812006563, 'mu': -0.07517514299194583, 'w0': 0.22210557021958652, 'delta': 1.0330847288742007e-11, 'psi': 0.2}",{'sigma': 0.06885605997033636},0.005474984561322104,0.2550361760890161,0.7430739378897886
0.01,0.13450427195371528,0.15791974470883732,-0.02341547275512204,0.14572149683101052,0.021234754638670212,0.8072362720024358,0.6527613716191684,0.5189189935690744,0.7772177852383525,0.6117639382542679,0.050654730948498594,3.3479714121973705e-08,0.9999999665202859,5.867156259772395e-25,0.0020648728195444737,"{'sigma': 0.06318368886019901, 'lam': -0.4208916059096106}","{'sigma': 0.02263832024562773, 'mu': -0.07607758865735392, 'w0': 0.2247718534730084, 'delta': 2.196378634522489e-10, 'psi': 0.2}",{'sigma': 0.06306124065336885},0.004129745639088947,0.19448049715480797,0.7598051831759982
0.02,0.04187408479634733,0.11172852159468438,-0.06985443679833706,0.16679246039574314,0.02781972484486554,0.8655604051636029,0.7393569145500951,0.6260302353046826,0.8098655326535358,0.692633948806422,0.2685404346114109,1.465423739471543e-26,1.0,7.297141007244706e-40,0.00344136929757679,"{'sigma': 0.06720581668340092, 'lam': -0.3586137967973846}","{'sigma': 0.02666008728424818, 'mu': -0.07278776717234292, 'w0': 0.2150520489940503, 'delta': 2.3503865520524414e-11, 'psi': 0.2}",{'sigma': 0.07115028380981862},0.00688273859515358,0.2474049845400923,0.7998403827087193
0.03,0.37579401872789003,0.2838232616158443,0.09197075711204572,0.1594521558629454,0.025424990009341033,0.8357024356491269,0.6897855886597094,0.5490419631843464,0.7281461413442653,0.7432409393283461,1.1040781727659237,5.5414950498445e-15,0.9999999999999944,1.4348378133449261e-30,0.002998554994706783,"{'sigma': 0.07201434367139205, 'lam': -0.39830482162918424}","{'sigma': 0.02715864275774904, 'mu': -0.07597648727305417, 'w0': 0.22447314896142215, 'delta': 5.686628945511529e-10, 'psi': 0.2}",{'sigma': 0.07240286718471697},0.005997109989413566,0.2358746252096954,0.7843777499020885
0.04,0.9710653236926519,0.6488837592139112,0.3221815644787407,0.19738034432024412,0.03895900032397812,0.8926496659168626,0.779691142214858,0.6732754393296213,0.4431706513612505,0.6535216670867652,1.0834066668565487,2.32349145473566e-15,0.9999999999999978,9.258917494206358e-32,0.0,"{'sigma': 0.0716232420728001, 'lam': -0.32357332452541065}","{'sigma': 0.029696983159750223, 'mu': -0.07192026091031711, 'w0': 0.2124889946894033, 'delta': 1.205568977979965e-11, 'psi': 0.2}",{'sigma': 0.08017392109624678},0.008801504194376392,0.22591709543838895,0.9054705941152521
0.05,0.8327716506839377,0.7528059514893746,0.07996569919456309,0.19327766832304782,0.03735625707239409,0.8807955452063868,0.7670952613538892,0.6555708509614371,0.5349781077821277,0.03927591397065889,0.3366481784273838,3.1362991925981887e-13,0.9999999999996865,6.900457808730054e-30,0.003886334805639221,"{'sigma': 0.0746902693460822, 'lam': -0.36190637520492874}","{'sigma': 0.029236707781751914, 'mu': -0.07370209517536841, 'w0': 0.2177534387246802, 'delta': 2.4707258461376114e-10, 'psi': 0.2}",{'sigma': 0.07884237114905855},0.007772669611278442,0.2080687472574004,0.9395510105474808
0.06,1.0082760803016948,1.1397507420959385,-0.13147466179424372,0.22743715041682375,0.051727657389724915,0.9088984047052853,0.82958998810753,0.75930738063953,0.24397051779605622,0.11838914532135143,-0.21443273879239602,2.611709515931726e-31,1.0,4.442244447256646e-43,0.0056166844476789315,"{'sigma': 0.07513966295308502, 'lam': -0.32027331920397595}","{'sigma': 0.03021129584135429, 'mu': -0.06850346351106906, 'w0': 0.20239403903103792, 'delta': 5.863753926860227e-12, 'psi': 0.2}",{'sigma': 0.0841970929763928},0.011233368895357863,0.21716368887003257,0.9678678002173314
0.07,0.8378564819156396,0.9289302989267382,-0.09107381701109862,0.2913554201774958,0.08488798086680513,0.9436255441970454,0.8866824036290192,0.8237285696861738,0.14194273918682032,0.02058807757202225,2.168288472084124,2.1101570330230345e-37,1.0,5.7225204094004664e-49,0.008881823331586335,"{'sigma': 0.09015229049101403, 'lam': -0.3037145614701191}","{'sigma': 0.037439819255531415, 'mu': -0.06798327018641559, 'w0': 0.2008571236250693, 'delta': 2.899902540320909e-13, 'psi': 0.2}",{'sigma': 0.1013128100479535},0.01776364666317267,0.20925985612786585,0.9670268011466279
0.08,5.3873779088545195,5.594141867475574,-0.20676395862105412,0.21844595002595435,0.04771863308274175,0.8945415195957966,0.795187081806287,0.6959814621542901,0.04954917624673229,-0.1992890600739964,-0.01484748004081504,1.021044362957712e-18,1.0,4.793172369301735e-34,0.005136126016602296,"{'sigma': 0.08000083409375991, 'lam': -0.3414552648111484}","{'sigma': 0.03214645747208089, 'mu': -0.07211421549546215, 'w0': 0.21306203528588138, 'delta': 2.1228263591410723e-10, 'psi': 0.2}",{'sigma': 0.08692593494959587},0.010272252033204593,0.21526710573190594,0.944725225772663
0.09,6.943712581817631,6.729145452602293,0.21456712921533772,0.2191290093069556,0.048017522719847834,0.8966568384571678,0.7990005482500149,0.7086835971618956,0.033344695861851785,-0.13897348147241081,1.088024485928417,1.7325413928212524e-16,0.9999999999999998,2.779911888687829e-32,0.004680130076178822,"{'sigma': 0.07588506687390315, 'lam': -0.3372458588531537}","{'sigma': 0.030601516052207955, 'mu': -0.07196639986895015, 'w0': 0.21262531260743006, 'delta': 2.2648549702353193e-12, 'psi': 0.2}",{'sigma': 0.08343043996586384},0.009360260152357644,0.19493425779103388,0.9563059304723384
