,rb,rnb,x,y,x_num,y_num
0,0.0,-3.0,Extinct,Extinct,,
1,0.0,-2.9,Extinct,Extinct,,
2,0.0,-2.8,Extinct,Extinct,,
3,0.0,-2.7,Extinct,Extinct,,
4,0.0,-2.6,Extinct,Extinct,,
5,0.0,-2.5,Extinct,Extinct,,
6,0.0,-2.4,Extinct,Extinct,,
7,0.0,-2.3,Extinct,Extinct,,
8,0.0,-2.2,Extinct,Extinct,,
9,0.0,-2.1,Extinct,Extinct,,
10,0.0,-2.0,Extinct,Extinct,,
11,0.0,-1.9,Extinct,Extinct,,
12,0.0,-1.8,Extinct,Extinct,,
13,0.0,-1.7,Extinct,Extinct,,
14,0.0,-1.6,Extinct,Extinct,,
15,0.0,-1.5,Extinct,Extinct,,
16,0.0,-1.4,Extinct,Extinct,,
17,0.0,-1.3,Extinct,Extinct,,
18,0.0,-1.2,Extinct,Extinct,,
19,0.0,-1.1,Extinct,Extinct,,
20,0.0,-1.0,Extinct,Extinct,,
21,0.0,-0.9,Extinct,Extinct,,
22,0.0,-0.8,Extinct,Extinct,,
23,0.0,-0.7,Extinct,Extinct,,
24,0.0,-0.6,Extinct,Extinct,,
25,0.0,-0.5,Extinct,Extinct,,
26,0.0,-0.4,Extinct,Extinct,,
27,0.0,-0.3,Extinct,Extinct,,
28,0.0,-0.2,Extinct,Extinct,,
29,0.0,-0.1,Extinct,Extinct,,
30,0.0,0.0,Extinct,Extinct,,
31,0.1,-3.0,Extinct,Extinct,,
32,0.1,-2.9,Extinct,Extinct,,
33,0.1,-2.8,Extinct,Extinct,,
34,0.1,-2.7,Extinct,Extinct,,
35,0.1,-2.6,Extinct,Extinct,,
36,0.1,-2.5,Extinct,Extinct,,
37,0.1,-2.4,Extinct,Extinct,,
38,0.1,-2.3,Extinct,Extinct,,
39,0.1,-2.2,Extinct,Extinct,,
40,0.1,-2.1,Extinct,Extinct,,
41,0.1,-2.0,Extinct,Extinct,,
42,0.1,-1.9,Extinct,Extinct,,
43,0.1,-1.8,Extinct,Extinct,,
44,0.1,-1.7,Extinct,Extinct,,
45,0.1,-1.6,Extinct,Extinct,,
46,0.1,-1.5,Extinct,Extinct,,
47,0.1,-1.4,Extinct,Extinct,,
48,0.1,-1.3,Extinct,Extinct,,
49,0.1,-1.2,Extinct,Extinct,,
50,0.1,-1.1,Extinct,Extinct,,
51,0.1,-1.0,Extinct,Extinct,,
52,0.1,-0.9,Extinct,Extinct,,
53,0.1,-0.8,Extinct,Extinct,,
54,0.1,-0.7,Extinct,Extinct,,
55,0.1,-0.6,Extinct,Extinct,,
56,0.1,-0.5,Extinct,Extinct,,
57,0.1,-0.4,Extinct,Extinct,,
58,0.1,-0.3,Extinct,Extinct,,
59,0.1,-0.2,Extinct,Extinct,,
60,0.1,-0.1,0.05114174532888197,0.0462733744811494,0.05114174532888197,0.0462733744811494
61,0.1,0.0,9.426086238899414,9.366567004745987,9.426086238899414,9.366567004745987
62,0.2,-3.0,Extinct,Extinct,,
63,0.2,-2.9,Extinct,Extinct,,
64,0.2,-2.8,Extinct,Extinct,,
65,0.2,-2.7,Extinct,Extinct,,
66,0.2,-2.6,Extinct,Extinct,,
67,0.2,-2.5,Extinct,Extinct,,
68,0.2,-2.4,Extinct,Extinct,,
69,0.2,-2.3,Extinct,Extinct,,
70,0.2,-2.2,Extinct,Extinct,,
71,0.2,-2.1,Extinct,Extinct,,
72,0.2,-2.0,Extinct,Extinct,,
73,0.2,-1.9,Extinct,Extinct,,
74,0.2,-1.8,Extinct,Extinct,,
75,0.2,-1.7,Extinct,Extinct,,
76,0.2,-1.6,Extinct,Extinct,,
77,0.2,-1.5,Extinct,Extinct,,
78,0.2,-1.4,Extinct,Extinct,,
79,0.2,-1.3,Extinct,Extinct,,
80,0.2,-1.2,Extinct,Extinct,,
81,0.2,-1.1,Extinct,Extinct,,
82,0.2,-1.0,Extinct,Extinct,,
83,0.2,-0.9,Extinct,Extinct,,
84,0.2,-0.8,Extinct,Extinct,,
85,0.2,-0.7,Extinct,Extinct,,
86,0.2,-0.6,Extinct,Extinct,,
87,0.2,-0.5,Extinct,Extinct,,
88,0.2,-0.4,Extinct,Extinct,,
89,0.2,-0.3,Extinct,Extinct,,
90,0.2,-0.2,0.05623556013081997,0.046040042595936574,0.05623556013081997,0.046040042595936574
91,0.2,-0.1,10.354505040088512,9.30417726130607,10.354505040088512,9.30417726130607
92,0.2,0.0,18.965688534838335,18.72550573045887,18.965688534838335,18.72550573045887
93,0.3,-3.0,Extinct,Extinct,,
94,0.3,-2.9,Extinct,Extinct,,
95,0.3,-2.8,Extinct,Extinct,,
96,0.3,-2.7,Extinct,Extinct,,
97,0.3,-2.6,Extinct,Extinct,,
98,0.3,-2.5,Extinct,Extinct,,
99,0.3,-2.4,Extinct,Extinct,,
100,0.3,-2.3,Extinct,Extinct,,
101,0.3,-2.2,Extinct,Extinct,,
102,0.3,-2.1,Extinct,Extinct,,
103,0.3,-2.0,Extinct,Extinct,,
104,0.3,-1.9,Extinct,Extinct,,
105,0.3,-1.8,Extinct,Extinct,,
106,0.3,-1.7,Extinct,Extinct,,
107,0.3,-1.6,Extinct,Extinct,,
108,0.3,-1.5,Extinct,Extinct,,
109,0.3,-1.4,Extinct,Extinct,,
110,0.3,-1.3,Extinct,Extinct,,
111,0.3,-1.2,Extinct,Extinct,,
112,0.3,-1.1,Extinct,Extinct,,
113,0.3,-1.0,Extinct,Extinct,,
114,0.3,-0.9,Extinct,Extinct,,
115,0.3,-0.8,Extinct,Extinct,,
116,0.3,-0.7,Extinct,Extinct,,
117,0.3,-0.6,Extinct,Extinct,,
118,0.3,-0.5,Extinct,Extinct,,
119,0.3,-0.4,Extinct,Extinct,,
120,0.3,-0.3,0.061701474449216705,0.04570768128016319,0.061701474449216705,0.04570768128016319
