Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean
Non-breeding,0.5,0.0,46.033959746949044,48.37312164124003,-2.3391618942909886,1.2297857462482766,1.5123729816754308,0.4869092439559876,0.2306692509258537,0.09900778726050284,0.02548665442650392,0.03351255315547961,-0.04629790960495365,0.14516838006752866,0.09598715517035278,0.0030085373389012538
Breeding,0.5,0.0,44.60428952074831,46.88587060689543,-2.2815810861471206,1.4910496226530499,2.2232289772138025,0.4878732052223663,0.23452884940574942,0.11813270979358667,0.031923145641765176,0.037987431322648445,0.05195466999386751,0.20903705593830021,0.09402407852756123,0.004475451574422168
Non-breeding,1.0,-0.5,73.15894334890767,77.93764464149045,-4.778701292582781,2.013348709096968,4.053573024422427,0.4992556899231412,0.2538357413519238,0.12647828565813996,0.025924801736237138,-0.06689990268851415,0.030970150583011988,0.3836669059054455,0.09464906727814834,0.004940271113201969
Breeding,1.0,-0.5,42.28315043994102,44.94443437753238,-2.6612839375913637,1.874712264854705,3.514546075996657,0.5004385081268458,0.25842940217596755,0.14299492287475815,0.041939763855991456,0.018384259873545396,0.038685631498879804,0.33381366151179953,0.09498059046419997,0.00746784794561195
Non-breeding,1.0,0.0,98.91497080546894,99.79411575086031,-0.8791449453913742,1.8456754523989343,3.4065178755880106,0.04131325539932475,-0.01284273815280391,-0.016506954852794735,0.01850826749830589,0.031589630994440177,0.03132287858902205,0.14784913097084731,0.04340183623587373,0.0014826177927673046
Breeding,1.0,0.0,92.66596241049304,93.42747028338532,-0.7615078728922811,2.5599664099655577,6.553428020151945,0.03799186514941055,-0.015449959783249112,0.009936869901454407,0.027453231926206995,0.048294856873740834,0.14448764034817432,0.273594416250798,0.041748290422888405,0.002934042780330633
Non-breeding,1.5,-1.0,111.07672793697073,123.47836275388747,-12.40163481691674,5.037558989574166,25.3770005734395,0.5174523411930824,0.28057581608066506,0.1569167425047074,0.04104949664031013,-0.17774466649555692,0.047370865281085466,2.4543360622995376,0.09671497839931233,0.01999961889321188
Breeding,1.5,-1.0,38.07297783925806,41.90686761259931,-3.833889773341248,2.8632303805314114,8.198088211998051,0.514989622624762,0.2780552798087109,0.1591509091822182,0.06890240096233474,0.03186630409989625,-0.03135354101290223,0.8008850721655877,0.09769168755631073,0.019272952935369403
Non-breeding,1.5,-0.5,162.40541064294786,163.76424939907736,-1.3588387561295008,1.8986712516651683,3.6049525218997767,0.07671036879347091,-0.004876213088951169,-0.014445332822075574,0.011601092923121462,0.04972626567858822,0.0035212319220408136,0.16298085551676209,0.045210264081612,0.0009958311887229363
Breeding,1.5,-0.5,88.63598632919472,89.1273137350755,-0.4913274058807815,3.368039242904016,11.343688341741457,0.07015402895843903,0.0016776935845002389,0.023756982034731526,0.0378797744846186,0.04181058609082218,0.09940414366376205,0.5076132902574375,0.04474852225881145,0.005709041841141918
Non-breeding,1.5,0.0,154.09903072199137,154.95080006397103,-0.8517693419796615,3.2609883767742818,10.634045193456965,-0.37082033537100295,0.12392740528811295,-0.045291145329018276,0.021056839630687527,-0.13875753501207463,0.12106547458856355,0.8333561010482337,0.07836680076938082,0.005381143306124181
Breeding,1.5,0.0,139.2283785905873,139.71042338382352,-0.48204479323621285,4.0870582319349404,16.704044991227164,-0.36750036872502734,0.10974043905378898,-0.022753226345721574,0.029289002003961246,0.02590398568572095,0.13580121707945686,1.2677586025219245,0.07589530578897156,0.009085112602426662
Non-breeding,2.0,-1.5,153.02344922549722,189.73707742906828,-36.71362820357106,14.316002316944475,204.94792233875958,0.5389025896612393,0.3049312132854833,0.17974564795865497,0.07634314660043413,-0.23856937100714612,0.03596885153472844,20.50999581756402,0.10007418266803861,0.1093739427257075
Breeding,2.0,-1.5,31.0924838640831,37.35058762669459,-6.258103762611491,4.415632528053393,19.497810622803193,0.5321480667805994,0.2970921567657417,0.1742405004014481,0.11985296102214223,0.08576461359509041,-0.07304540809249406,1.964650302618645,0.10076261076825394,0.05332625725666934
Non-breeding,2.0,-1.0,261.9681593459304,266.75885520592504,-4.790695859994628,3.6833835200467515,13.567314155752,0.12777833922598128,0.023497621760028856,0.0194457133504719,0.013835107382204104,-0.6385942960563888,0.9188696955116112,0.6856271181749941,0.05053521355104139,0.0025752748125402345
Breeding,2.0,-1.0,81.48860247793975,82.1983591593684,-0.7097566814286438,5.333335992232164,28.44447280603904,0.121569166703518,0.019261637446342305,0.02680605199884579,0.06514181904803205,0.03665054115203879,0.05428411130238492,1.3856168634618882,0.048713044284923714,0.016924042123166297
