Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean
Non-breeding,0.1,0.0,8.275518137345141,9.564211262039462,-1.288693124694321,0.566376167831774,0.32078196348780585,0.8848033152307666,0.7863629633735064,0.6989159367644652,0.06039323532618491,0.102929447286173,-0.0016870562678680161,0.048178697259047935,0.15019141579909742,0.005137340810814159
Breeding,0.1,0.0,8.163499720488765,9.510732185999062,-1.347232465510297,0.5907193964333671,0.3489494053226016,0.8859723976514672,0.7886264098575386,0.7045497649601089,0.06339447604460484,0.13037370562257702,0.004947910863802114,0.0528763982165401,0.15153027175288117,0.005674558140976076
Non-breeding,0.2,-0.1,9.047465932327771,10.515118019831537,-1.4676520875037653,0.6257050637247036,0.3915068267707354,0.8859745892971547,0.7889208768250741,0.702616406697517,0.06074671546186706,0.08315449707424938,-0.020991174457044834,0.059071409252402,0.15088219467241615,0.00573496092300442
Breeding,0.2,-0.1,8.069636378418426,9.456228583180513,-1.3865922047620867,0.5957304965449941,0.35489482451374527,0.8872795556554438,0.7912778000922993,0.7082923454206018,0.0643715294964675,0.11047007799937884,-0.02270229735378478,0.05400216681952293,0.15216386120455075,0.005835192414114609
Non-breeding,0.2,0.0,17.18680060930055,19.08589623589725,-1.8990956265966972,0.7864759319449861,0.6185443915287344,0.7774820578974626,0.606050588793232,0.46976888420720087,0.04156880190558542,-0.00692873026887072,0.0023257605709593393,0.0926700415415818,0.14981954862212477,0.0048980298607457515
Breeding,0.2,0.0,16.919651554025187,18.861563649702937,-1.9419120956777505,0.8517415976995132,0.7254637492517193,0.7798815143931284,0.6107744743684159,0.48159244721939043,0.04559972161087852,0.02298319003563457,0.010449290746086578,0.11035608769704788,0.15211799047281802,0.005908137973585736
Non-breeding,0.3,-0.2,9.869650765774205,11.554198823005429,-1.6845480572312237,0.7043672479588046,0.49613321999706006,0.8872550551397453,0.7916844012789711,0.7066168075800598,0.06231066667910838,0.06186124733150499,-0.05668227438382939,0.07527438976503194,0.1517221317400959,0.0066590225819195305
Breeding,0.3,-0.2,7.958990788045779,9.396550821139874,-1.437560033094095,0.6115493901779073,0.37399265662697034,0.8885955144287546,0.7939609849991933,0.71200831736706,0.06659086520577448,0.08928037964056183,-0.06599326439048295,0.057167834062286774,0.15285817261194892,0.006224935537978968
Non-breeding,0.3,-0.1,18.828989825946934,20.98693874021973,-2.1579489142727972,0.8609401524523849,0.7412179461047357,0.7789682311754206,0.6094282989062381,0.47450856018556664,0.04140481487721936,-0.02246494547321306,-0.007372416929542896,0.11163979946336,0.1506166978957429,0.005369043616496864
Breeding,0.3,-0.1,16.75398132193321,18.744968625935222,-1.9909873040020116,0.8600041902757306,0.7396072072918151,0.7816940712971631,0.6145938529430106,0.4868018878106646,0.04635880345106592,0.011094869944620299,-0.007260999438069134,0.11315131201539155,0.15298838478023002,0.006099457994815076
Non-breeding,0.3,0.0,26.47593284922439,28.72891698619541,-2.2529841369710226,0.9591622067442338,0.9199921388464682,0.6774414474269325,0.45774949419667615,0.3036428698789107,0.03356451602326549,-0.013347524836461795,-0.03311198580752688,0.11490051626133735,0.12489293267810453,0.004020780001566006
Breeding,0.3,0.0,25.947358621146964,28.2111490441893,-2.263790423042334,1.0783498107872942,1.162838314424993,0.6799351002269566,0.46300750073538677,0.31899067302242584,0.03847139163615314,0.009391907190322329,0.004816810229643549,0.14513514942445635,0.12481111743916318,0.005177866326700945
Non-breeding,0.4,-0.3,10.741239805034512,12.686943139632517,-1.9457033345980044,0.8065230977003853,0.6504795071242253,0.8885614718006889,0.7944676556604926,0.7106470395728862,0.06506684925501323,0.0408494605813803,-0.10309907996805964,0.09926515937127339,0.1526030540302882,0.008008290375689786
Breeding,0.4,-0.3,7.831107254546132,9.330411992675488,-1.4993047381293563,0.6375473448363571,0.4064666169078888,0.8898382950137622,0.7965072181096143,0.7154795240094924,0.07002146126516604,0.0690895418546477,-0.11772984677469937,0.06240585483458583,0.1535325466807718,0.006853999443980329
Non-breeding,0.4,-0.2,20.590655952691677,23.063650968995308,-2.4729950163036314,0.9615540260519148,0.9245861450166464,0.7807624003619478,0.6134045494647644,0.4801118806761609,0.042104612912879515,-0.037097053688613504,-0.02553690058811209,0.14017729402194695,0.15161085289616055,0.00613809577419451
Breeding,0.4,-0.2,16.558776150922725,18.61526983933837,-2.056493688415646,0.8844895509268843,0.7823217656988415,0.7836023797225838,0.6186072437117115,0.49213373803334687,0.04804352552429918,0.00024880490939426555,-0.034367396628199556,0.12038867590044924,0.1538863945488044,0.006539247883028904
Non-breeding,0.4,-0.1,29.05225188897264,31.60236084427479,-2.55010895530215,1.0391013306085584,1.0797315752724763,0.6789020104473117,0.46112816563180203,0.3081474700590769,0.03306620727830247,-0.028728236019999156,-0.029524531186170634,0.13387477631683536,0.12398894260645413,0.00426015343511908
Breeding,0.4,-0.1,25.721099950964973,28.029185112122985,-2.3080851611580115,1.0899500174775285,1.1879910405992646,0.6818807214757793,0.46723968968166557,0.3245403913353206,0.03915513620918208,0.001063550095239459,0.0035892711135297063,0.14940309168455324,0.1257611266236394,0.00536712538297859
Non-breeding,0.4,0.0,36.10074066248837,38.49008768197383,-2.389347019485463,1.103378031395357,1.2174430801658935,0.5810167537115271,0.3337042730687377,0.18345277612352573,0.028769074644930823,0.008071183870184658,-0.04854630960998892,0.13582687526820306,0.11156733113937019,0.003541500195030152
Breeding,0.4,0.0,35.18858939209661,37.55283075261731,-2.364241360520701,1.2883706544442468,1.6598989432330966,0.5829129630120651,0.3384593196911806,0.2009289159111587,0.034473429717081276,0.021569598497100988,0.021613419955071465,0.1821561828938842,0.10973932096076064,0.00487402312902949
Non-breeding,0.5,-0.4,11.660157578485718,13.91964304392417,-2.259485465438452,0.9367660843677791,0.8775306968217409,0.8898156680188113,0.7971040282550308,0.7144655267598564,0.06898553371635029,0.02203594008831073,-0.1533387570295709,0.13464594903293256,0.1534373093962366,0.009915626549449875
Breeding,0.5,-0.4,7.68544751521348,9.256954407900142,-1.5715068926866627,0.6729964229624973,0.45292418532031653,0.8909525467441541,0.7988007778943523,0.7185667442692673,0.07462770056426266,0.05197002220568485,-0.1706672930459757,0.06980893241660706,0.1541293988689009,0.007741021983689963
Non-breeding,0.5,-0.3,22.473177441096936,25.32909622151281,-2.855918780415873,1.094461588017557,1.197846167645913,0.7827485045872465,0.61769680782471,0.4861673279949318,0.043665998005630986,-0.050436765057306626,-0.05005083900324339,0.182923252424619,0.15271013704882652,0.007298133130487548
Breeding,0.5,-0.3,16.33286708795475,18.47259911014215,-2.139732022187399,0.9242308668895122,0.8542026953113391,0.7854578146781177,0.6224987800140784,0.4971901202091365,0.05062869188259736,-0.008880806388175358,-0.06674625843758877,0.13219707769078928,0.1547607826765358,0.00724165936668167
Non-breeding,0.5,-0.2,31.83007882618728,34.74499994117253,-2.914921114985251,1.1490541270062262,1.3203253867900409,0.6807437169216718,0.4652896117754857,0.31378471848450906,0.0332701915835524,-0.04362178642050254,-0.029499711636663848,0.16355801713963344,0.12387705241150723,0.004735726923012101
Breeding,0.5,-0.2,25.454699106471207,27.82831053980458,-2.373611433333373,1.1224348184909074,1.2598599217607165,0.6839515819831733,0.47170856954836027,0.33018422975331924,0.04063268152590248,-0.005875459049913456,-0.006896935502723176,0.15969905320509034,0.12675937256731132,0.005781182712769843
Non-breeding,0.5,-0.1,39.66108482365247,42.35984396757162,-2.6987591439191476,1.1819219026639525,1.3969393839967776,0.5825194336854128,0.3369568855537789,0.18741180030455784,0.02800725566537021,-0.007222483325828659,-0.03730359740238029,0.1549368239925924,0.11091162993007132,0.0036714399079672347
Breeding,0.5,-0.1,34.90268048256345,37.303648732995065,-2.4009682504316174,1.3040294116152407,1.7004927063575905,0.5849622028227344,0.3429317758552645,0.20650342786418485,0.03513730743566606,0.014886577572099182,0.03126787773253247,0.18605668197476977,0.10941339605819196,0.005013330816603052
Non-breeding,0.5,0.0,46.033959746949044,48.37312164124003,-2.3391618942909886,1.2297857462482766,1.5123729816754308,0.4869092439559876,0.2306692509258537,0.09900778726050284,0.02548665442650392,0.03351255315547961,-0.04629790960495365,0.14516838006752866,0.09598715517035278,0.0030085373389012538
Breeding,0.5,0.0,44.60428952074831,46.88587060689543,-2.2815810861471206,1.4910496226530499,2.2232289772138025,0.4878732052223663,0.23452884940574942,0.11813270979358667,0.031923145641765176,0.037987431322648445,0.05195466999386751,0.20903705593830021,0.09402407852756123,0.004475451574422168
Non-breeding,0.6,-0.5,12.62277045328779,15.258831066554462,-2.6360606132666717,1.1002886529556943,1.2106351198230565,0.8909666709315189,0.7994900188928453,0.7179225005114694,0.0740392241289943,0.006917272817240118,-0.20173311877957814,0.1866390887530757,0.15416626008698178,0.012559080098026486
Breeding,0.6,-0.5,7.521407524940724,9.174674976703592,-1.6532674517628685,0.7172188608861575,0.5144028944108373,0.891927335574908,0.8008140698689673,0.721252848859003,0.08038643631795732,0.03931697003407401,-0.21954400948392924,0.07952664081527318,0.15459990929164127,0.008913406487357764
Non-breeding,0.6,-0.4,24.475797412264424,27.797776433582538,-3.321979021318114,1.2664306477864884,1.6038465856529047,0.7847728587902361,0.6219681323214271,0.4921887352697745,0.046073393352095975,-0.062074396913739435,-0.07761768932681559,0.2467305079904097,0.15383672615418448,0.00897618181182956
Breeding,0.6,-0.4,16.07491131925114,18.315697921004077,-2.240786601752937,0.9781852054157315,0.9568462960942168,0.7871772775040905,0.6260839151556474,0.5017612616179551,0.05408903606741627,-0.015603467639841155,-0.09978243208548221,0.1488502773445226,0.15556341488922473,0.008230719474550863
Non-breeding,0.6,-0.3,34.81529201545445,38.177810116325325,-3.362518100870872,1.296797285470967,1.681683199604869,0.6828910712449608,0.4699938328379831,0.32020015128952617,0.03418616688698278,-0.057766924989840415,-0.034106539214794444,0.21022444555146028,0.1250083521086819,0.005541936322557598
Breeding,0.6,-0.3,25.146243918107416,27.607783261899666,-2.46153934379225,1.174603827239342,1.37969415096531,0.6860040984387469,0.4760801913697431,0.3355238482082929,0.04288420372545802,-0.011204753424242965,-0.024619348269860022,0.17625811272339337,0.12775158363907935,0.0064350963610086695
Non-breeding,0.6,-0.2,43.515037769733055,46.59661553980227,-3.0815777700692166,1.2922283457069457,1.6698540974485097,0.5844233342197738,0.34109096745086814,0.19264613916921508,0.027843554449297637,-0.023699050768166214,-0.025248481916048168,0.18418511584884248,0.11030012510091282,0.003968623903758926
Breeding,0.6,-0.2,34.56769552627744,37.0292687471096,-2.4615732208321575,1.3450021662662046,1.809030827260783,0.5871595452823384,0.347653770227793,0.21209445276832986,0.036523433702865246,0.009261522067223901,0.03086037789673525,0.1976528871404543,0.10925899335819411,0.005367249436998678
Non-breeding,0.6,-0.1,50.62881656301462,53.26444201258567,-2.6356254495710516,1.301257106904842,1.6932700582703593,0.4886435270079282,0.23381140859182412,0.10235623288721507,0.0244942816973797,0.019871344926443397,-0.0335225305943388,0.16180014627088954,0.09555483809603595,0.0030456535763813707
Breeding,0.6,-0.1,44.26110785369902,46.5672824006523,-2.3061745469532795,1.5116021853669859,2.2849411668062474,0.49010459251268984,0.23920496716463358,0.12364237965899119,0.03259308309387565,0.03242458023176438,0.06677564167975518,0.21461974789187835,0.09392790983404656,0.004627619187338211
Non-breeding,0.6,0.0,56.2356426607145,58.38389534706894,-2.1482526863544464,1.3460451482595082,1.811837541152961,0.3946257659318434,0.14694143815390132,0.04270349716114299,0.023097011360947314,0.054412326979998,-0.03486691871771,0.14781242795077026,0.08158150197986845,0.0025363379022483924
Breeding,0.6,0.0,54.145790186128586,56.21099608948801,-2.065205903359427,1.6922327432685595,2.863651657390234,0.3945406176084542,0.14982285640467982,0.0634543588417883,0.030200322662390918,0.05050525606064616,0.0836668020706682,0.22755024578823282,0.07946156621424022,0.00406096080580352
Non-breeding,0.7,-0.6,13.623520270266921,16.711375284222058,-3.087855013955137,1.3030688246959818,1.6979883618945673,0.8919895192217134,0.8015808137552218,0.7209537845927279,0.08021248441318547,-0.0036495169472840687,-0.24500126527149707,0.26279092704731216,0.15476603547158443,0.016176515576318114
Breeding,0.7,-0.6,7.338336710623256,9.084649280096146,-1.7463125694728898,0.769504849845456,0.5921377139356777,0.8927406459336699,0.8025039523229927,0.7234932103215812,0.08727903648970722,0.031814844003893825,-0.2619534340707818,0.091762277206273,0.15496779726521673,0.01040789170110287
Non-breeding,0.7,-0.5,26.5949733911518,30.48344744873416,-3.8884740575823606,1.485182791577892,2.2057679243991,0.7867378297926482,0.6260076609691839,0.49786752549370694,0.04931148023200402,-0.07154911726894737,-0.1047749673936789,0.3417021672441136,0.15491301848411856,0.011345296862340688
Breeding,0.7,-0.5,15.783408752288054,18.143266668793537,-2.359857916505483,1.0453514949683158,1.0927597480324929,0.7887263927790312,0.629283205284135,0.5057781400771231,0.058406168972621714,-0.019451926189316796,-0.13013952172325993,0.1707649250208381,0.15626941359095564,0.009541025304284322
