Realisation number,Variable,index,Lag-1 AC,Lag-2 AC,Coefficient of variation,Kurtosis,Smax/Var,Lag-3 AC,Variance,Standard deviation,Skewness,Smax,Cross correlation
1,Non-breeding,0,0.9084628670120898,0.7543177892918826,0.974309153713299,0.030008635578583766,0.7578947368421053,0.12780656303972365,-0.4284326424870466,-0.4284326424870466,-0.5477115716753023,0.4105263157894737,0.9265975820379966
1,Breeding,0,0.9040371329879102,0.7495682210708118,0.8047279792746114,0.5311960276338515,0.631578947368421,-0.5718911917098446,-0.9857512953367875,-0.9857512953367875,0.4901770293609672,-0.631578947368421,0.9265975820379966
1,Total,0,0.9749568221070811,0.8252374784110535,0.9653497409326425,0.7149179620034543,0.8210526315789474,0.19732297063903284,-0.786917098445596,-0.786917098445596,0.2182642487046632,0.3263157894736842,0.9265975820379966
2,Non-breeding,0,0.93566493955095,0.929080310880829,0.969775474956822,-0.537025043177893,0.7894736842105264,0.7760146804835925,-0.7652202072538861,-0.7652202072538861,-0.05580742659758204,0.45263157894736844,0.9102979274611399
2,Breeding,0,0.9297279792746115,0.7966321243523317,0.6475604490500864,0.2384499136442142,0.8315789473684211,0.5002158894645942,-0.9725820379965459,-0.9725820379965459,0.3376511226252159,-0.6210526315789474,0.9102979274611399
2,Total,0,0.9606001727115717,0.8843911917098446,0.9395509499136443,-0.052353195164076,0.7894736842105264,0.780440414507772,-0.9274611398963731,-0.9274611398963731,0.06530656303972367,0.23157894736842105,0.9102979274611399
3,Non-breeding,0,0.9050086355785838,0.8041882556131261,0.9670768566493956,0.22841105354058722,0.4631578947368421,0.5568868739205527,-0.9265975820379966,-0.9265975820379966,-0.07869170984455959,-0.5578947368421052,0.8339810017271158
3,Breeding,0,0.9152633851468049,0.8671200345423143,0.6522020725388601,0.48801813471502586,0.37894736842105264,-0.14669689119170987,-0.9666450777202071,-0.9666450777202071,0.4964378238341969,-0.8947368421052632,0.8339810017271158
3,Total,0,0.9768998272884283,0.8633419689119172,0.9095423143350605,0.40252590673575134,0.7052631578947369,0.3375431778929188,-0.9584412780656304,-0.9584412780656304,0.36744386873920554,-0.7473684210526316,0.8339810017271158
4,Non-breeding,0,0.9452720207253887,0.8143350604490501,0.9032815198618308,0.23672279792746115,0.6210526315789474,0.6848013816925734,-0.6580310880829016,-0.6580310880829016,-0.7049870466321244,0.23157894736842105,0.8439119170984457
4,Breeding,0,0.9083549222797928,0.8153065630397237,0.6260794473229706,0.10276338514680484,0.7894736842105264,0.4049006908462867,-0.9733376511226253,-0.9733376511226253,0.352979274611399,-0.8421052631578948,0.8439119170984457
4,Total,0,0.9708549222797929,0.8496329879101899,0.8395941278065631,0.017271157167530228,0.8315789473684211,0.38806131260794474,-0.9014464594127807,-0.9014464594127807,0.20207253886010362,0.17894736842105263,0.8439119170984457
5,Non-breeding,0,0.7455742659758203,0.6473445595854922,0.9119170984455959,-0.6498272884283247,0.6842105263157895,0.570811744386874,-0.5888385146804836,-0.5888385146804836,-0.40932642487046633,0.5052631578947369,0.8619386873920554
5,Breeding,0,0.9637305699481866,0.6305051813471503,0.7139464594127807,-0.17962003454231434,0.6631578947368422,0.48553540587219346,-0.9822970639032814,-0.9822970639032814,-0.14507772020725387,-0.631578947368421,0.8619386873920554
5,Total,0,0.986183074265976,0.7208549222797928,0.8988557858376511,-0.4614637305699482,0.8210526315789474,0.6189550949913644,-0.9174222797927462,-0.9174222797927462,-0.2544257340241796,0.4105263157894737,0.8619386873920554
6,Non-breeding,0,0.9217400690846287,0.9305915371329879,0.9380397236614854,-0.12694300518134713,0.5684210526315789,0.9246545768566494,-0.8218911917098446,-0.8218911917098446,0.26198186528497414,0.19999999999999998,0.9136442141623489
6,Breeding,0,0.8228626943005182,0.6542530224525044,0.37607944732297066,-0.26208981001727116,0.7999999999999999,0.048683074265975824,-0.9773316062176166,-0.9773316062176166,-0.23726252158894645,-0.8210526315789474,0.9136442141623489
6,Total,0,0.9586571675302247,0.9164507772020726,0.9512089810017272,-0.09812176165803109,0.8526315789473685,0.48143350604490504,-0.9229274611398964,-0.9229274611398964,-0.4489421416234888,0.3684210526315789,0.9136442141623489
7,Non-breeding,0,0.863126079447323,0.8374352331606217,0.9308074265975821,0.6256476683937824,0.6947368421052632,0.8177892918825561,-0.8516839378238342,-0.8516839378238342,-0.6310449050086356,0.1368421052631579,0.7301381692573403
7,Breeding,0,0.9092184801381693,0.4531519861830743,0.807426597582038,0.9179620034542315,0.6842105263157895,0.10395077720207255,-0.9720423143350606,-0.9720423143350606,0.7004533678756477,-0.8421052631578948,0.7301381692573403
7,Total,0,0.952720207253886,0.8290155440414507,0.9128886010362695,0.7946891191709845,0.6736842105263158,0.7023963730569949,-0.9332901554404146,-0.9332901554404146,-0.1157167530224525,0.031578947368421054,0.7301381692573403
8,Non-breeding,0,0.9412780656303973,0.5915371329879102,0.9657815198618309,-0.358052677029361,0.7157894736842105,0.5835492227979274,-0.8979922279792747,-0.8979922279792747,-0.40360535405872194,-0.23157894736842105,0.8119602763385146
8,Breeding,0,0.9185017271157168,0.5406951640759932,-0.045768566493955096,-0.022884283246977548,0.7999999999999999,-0.19354490500863558,-0.9843480138169257,-0.9843480138169257,0.11776770293609673,-0.8526315789473685,0.8119602763385146
8,Total,0,0.9567141623488773,0.6804835924006908,0.9060880829015544,0.0028065630397236616,0.8105263157894737,0.33991796200345425,-0.944300518134715,-0.944300518134715,0.2772020725388601,-0.5578947368421052,0.8119602763385146
9,Non-breeding,0,0.9636226252158895,0.923791018998273,0.9722582037996547,0.15155440414507773,0.7999999999999999,0.7288428324697754,-0.9010146804835925,-0.9010146804835925,-0.03551381692573402,0.45263157894736844,0.8306347150259068
9,Breeding,0,0.8347366148531952,0.8543825561312608,0.6068652849740932,-0.10254749568221071,0.4736842105263158,0.8052677029360967,-0.9783031088082901,-0.9783031088082901,-0.16936528497409328,-0.8421052631578948,0.8306347150259068
9,Total,0,0.9649179620034544,0.9381476683937824,0.8973445595854923,-0.17227979274611402,0.8526315789473685,0.8558937823834197,-0.9024179620034543,-0.9024179620034543,-0.5022668393782384,0.24210526315789474,0.8306347150259068
10,Non-breeding,0,0.9120250431778929,0.810772884283247,0.9416018998272886,0.08300949913644215,0.6736842105263158,0.17487046632124353,-0.9020941278065631,-0.9020941278065631,-0.2384499136442142,-0.06315789473684211,0.8697107081174439
10,Breeding,0,0.9260578583765113,0.8859024179620035,0.3789939550949914,0.800518134715026,0.38947368421052636,0.3457469775474957,-0.9839162348877376,-0.9839162348877376,-0.06681778929188256,-0.9157894736842106,0.8697107081174439
10,Total,0,0.9738773747841105,0.9332901554404146,0.9208765112262521,0.7571243523316062,0.6105263157894737,0.024935233160621764,-0.9563903281519863,-0.9563903281519863,-0.3313903281519862,-0.4631578947368421,0.8697107081174439
