Realisation number,Variable,index,Coefficient of variation,Lag-2 AC,Kurtosis,Variance,Lag-3 AC,Smax/Var,Standard deviation,Skewness,Smax,Lag-1 AC,Cross correlation
1,Non-breeding,0,0.8049645390070922,-0.49468085106382986,0.6808510638297873,-0.824468085106383,-0.8492907801418441,-0.5111111111111111,-0.824468085106383,0.7021276595744682,-0.8222222222222221,0.1170212765957447,0.7039007092198583
1,Breeding,0,0.7074468085106383,0.5124113475177305,0.6294326241134752,-0.9131205673758866,-0.41489361702127664,0.3333333333333333,-0.9131205673758866,0.5815602836879433,-0.15555555555555553,-0.1914893617021277,0.7039007092198583
1,Total,0,0.8794326241134752,0.17553191489361705,0.7695035460992908,-0.8563829787234043,-0.5124113475177305,0.022222222222222223,-0.8563829787234043,0.7021276595744682,-0.5555555555555555,0.19503546099290783,0.7039007092198583
2,Non-breeding,0,0.7624113475177307,-0.5212765957446809,0.6418439716312058,-0.7801418439716313,0.6365248226950355,-0.06666666666666667,-0.7801418439716313,0.33687943262411346,-0.5111111111111111,-0.37056737588652483,0.47695035460992913
2,Breeding,0,0.6773049645390071,-0.8315602836879434,0.7180851063829788,-0.9450354609929079,-0.4787234042553192,-0.15555555555555553,-0.9450354609929079,0.6773049645390071,-0.7333333333333333,0.06737588652482271,0.47695035460992913
2,Total,0,0.7269503546099292,-0.7872340425531915,0.7748226950354611,-0.8297872340425533,0.22340425531914895,-0.1111111111111111,-0.8297872340425533,0.547872340425532,-0.6,-0.12411347517730498,0.47695035460992913
3,Non-breeding,0,0.8758865248226951,0.49822695035460995,0.7358156028368795,-0.9255319148936171,0.04609929078014185,0.24444444444444444,-0.9255319148936171,0.6028368794326241,-0.9555555555555554,0.5514184397163121,0.2801418439716312
3,Breeding,0,0.10283687943262412,-0.3439716312056738,0.18085106382978725,-0.9734042553191491,0.15602836879432627,-0.24444444444444444,-0.9734042553191491,0.27482269503546103,-0.911111111111111,0.1223404255319149,0.2801418439716312
3,Total,0,0.75,-0.06914893617021278,0.49822695035460995,-0.9592198581560284,0.3209219858156029,-0.15555555555555553,-0.9592198581560284,0.34751773049645396,-0.9999999999999999,0.4326241134751773,0.2801418439716312
4,Non-breeding,0,0.7907801418439717,-0.033687943262411355,0.3634751773049646,-0.9184397163120569,0.3687943262411348,-0.1111111111111111,-0.9184397163120569,-0.35815602836879434,-0.9555555555555554,0.7907801418439717,0.9024822695035463
4,Breeding,0,0.5,-0.11524822695035462,0.35283687943262415,-0.9539007092198583,-0.35283687943262415,-0.4666666666666666,-0.9539007092198583,0.03723404255319149,-0.9555555555555554,0.771276595744681,0.9024822695035463
4,Total,0,0.8439716312056739,0.060283687943262415,0.3812056737588653,-0.9273049645390072,-0.4095744680851064,0.7777777777777777,-0.9273049645390072,-0.33156028368794327,-0.8666666666666666,0.7570921985815604,0.9024822695035463
5,Non-breeding,0,0.9113475177304966,0.824468085106383,-0.13297872340425532,-0.9273049645390072,0.5354609929078015,-0.06666666666666667,-0.9273049645390072,-0.23226950354609932,-0.4222222222222222,0.7890070921985817,0.33156028368794327
5,Breeding,0,0.8014184397163121,0.8829787234042553,-0.32269503546099293,-0.9592198581560284,0.4858156028368795,-0.06666666666666667,-0.9592198581560284,-0.36524822695035464,-0.6444444444444444,0.6755319148936171,0.33156028368794327
5,Total,0,0.8900709219858156,0.9113475177304966,-0.27482269503546103,-0.9397163120567377,0.574468085106383,-0.06666666666666667,-0.9397163120567377,-0.2978723404255319,-0.5555555555555555,0.7695035460992908,0.33156028368794327
6,Non-breeding,0,0.8138297872340426,0.40780141843971635,0.003546099290780142,-0.9326241134751774,-0.09574468085106384,0.3333333333333333,-0.9326241134751774,0.2340425531914894,-0.4666666666666666,0.4468085106382979,0.7854609929078015
6,Breeding,0,0.7021276595744682,0.2145390070921986,0.11170212765957448,-0.9202127659574469,-0.7180851063829788,0.4666666666666666,-0.9202127659574469,0.7304964539007093,-0.19999999999999998,0.7677304964539008,0.7854609929078015
6,Total,0,0.7801418439716313,0.29078014184397166,0.26773049645390073,-0.9095744680851066,-0.26773049645390073,0.5111111111111111,-0.9095744680851066,0.5656028368794327,-0.15555555555555553,0.6241134751773051,0.7854609929078015
7,Non-breeding,0,0.6400709219858157,0.398936170212766,-0.5265957446808511,-0.9166666666666667,0.5868794326241135,0.06666666666666667,-0.9166666666666667,0.4450354609929078,-0.8222222222222221,0.7765957446808511,-0.06560283687943262
7,Breeding,0,0.49113475177304966,0.35815602836879434,-0.6507092198581561,-0.8049645390070922,0.21631205673758866,0.37777777777777777,-0.8049645390070922,-0.04609929078014185,-0.6444444444444444,0.8758865248226951,-0.06560283687943262
7,Total,0,0.546099290780142,0.34042553191489366,-0.6808510638297873,-0.8102836879432624,0.3439716312056738,0.24444444444444444,-0.8102836879432624,0.3776595744680852,-0.6444444444444444,0.8457446808510639,-0.06560283687943262
8,Non-breeding,0,0.6134751773049646,-0.17021276595744683,-0.16666666666666669,-0.9379432624113476,-0.7287234042553192,-0.19999999999999998,-0.9379432624113476,-0.5833333333333334,-0.6,0.8776595744680852,0.33865248226950356
8,Breeding,0,0.3297872340425532,-0.25531914893617025,0.2978723404255319,-0.9166666666666667,-0.5939716312056738,-0.24444444444444444,-0.9166666666666667,-0.3758865248226951,-0.8666666666666666,0.9273049645390072,0.33865248226950356
8,Total,0,0.5017730496453902,-0.3812056737588653,-0.1046099290780142,-0.9024822695035463,-0.6524822695035462,-0.24444444444444444,-0.9024822695035463,-0.2624113475177305,-0.7777777777777777,0.9184397163120569,0.33865248226950356
9,Non-breeding,0,0.475177304964539,0.2446808510638298,0.5390070921985817,-0.9645390070921986,-0.012411347517730497,0.37777777777777777,-0.9645390070921986,0.6294326241134752,-0.5111111111111111,0.6843971631205675,0.7624113475177307
9,Breeding,0,0.04255319148936171,0.3865248226950355,-0.23049645390070925,-0.9556737588652483,0.044326241134751775,0.5111111111111111,-0.9556737588652483,-0.22872340425531917,-0.911111111111111,0.7943262411347518,0.7624113475177307
9,Total,0,0.3829787234042554,0.25,-0.28546099290780147,-0.950354609929078,-0.030141843971631208,0.3333333333333333,-0.950354609929078,-0.18617021276595747,-0.6444444444444444,0.7819148936170214,0.7624113475177307
10,Non-breeding,0,0.921985815602837,0.5567375886524824,0.2446808510638298,-0.8953900709219859,-0.21099290780141847,0.022222222222222223,-0.8953900709219859,-0.3563829787234043,-0.24444444444444444,0.8421985815602838,0.7801418439716313
10,Breeding,0,0.9060283687943264,-0.7393617021276596,0.7269503546099292,-0.8989361702127661,-0.7429078014184397,-0.6,-0.8989361702127661,0.5141843971631206,-0.8222222222222221,-0.03723404255319149,0.7801418439716313
10,Total,0,0.971631205673759,-0.5195035460992908,0.6560283687943262,-0.8617021276595745,-0.4840425531914894,-0.28888888888888886,-0.8617021276595745,0.6524822695035462,-0.4222222222222222,0.5585106382978724,0.7801418439716313
11,Non-breeding,0,0.7925531914893618,0.5851063829787234,0.2269503546099291,-0.8758865248226951,0.8102836879432624,0.8666666666666666,-0.8758865248226951,0.20744680851063832,0.24444444444444444,0.9397163120567377,0.6489361702127661
11,Breeding,0,0.6719858156028369,0.5567375886524824,0.3794326241134752,-0.9326241134751774,0.4929078014184398,0.28888888888888886,-0.9326241134751774,0.3262411347517731,-0.6,0.7960992907801419,0.6489361702127661
11,Total,0,0.7322695035460993,0.5514184397163121,0.2943262411347518,-0.9007092198581561,0.7056737588652483,0.8666666666666666,-0.9007092198581561,0.3280141843971631,-0.37777777777777777,0.8936170212765958,0.6489361702127661
12,Non-breeding,0,0.9308510638297873,0.37056737588652483,0.3794326241134752,-0.897163120567376,0.5035460992907802,-0.5555555555555555,-0.897163120567376,0.8280141843971632,-0.8666666666666666,0.7943262411347518,0.7446808510638299
12,Breeding,0,0.6773049645390071,0.473404255319149,-0.03546099290780142,-0.8918439716312057,-0.19680851063829788,-0.15555555555555553,-0.8918439716312057,0.1648936170212766,-0.7777777777777777,0.4308510638297873,0.7446808510638299
12,Total,0,0.8368794326241136,0.5425531914893618,0.19680851063829788,-0.8670212765957448,0.41489361702127664,-0.3333333333333333,-0.8670212765957448,0.8421985815602838,-0.911111111111111,0.6773049645390071,0.7446808510638299
13,Non-breeding,0,0.6063829787234043,-0.2269503546099291,-0.13475177304964542,-0.9680851063829788,0.11524822695035462,-0.4666666666666666,-0.9680851063829788,-0.18617021276595747,-0.8666666666666666,0.6843971631205675,-0.25
13,Breeding,0,-0.4893617021276596,0.2446808510638298,-0.2872340425531915,-0.9822695035460993,-0.07446808510638298,-0.24444444444444444,-0.9822695035460993,0.019503546099290784,-0.911111111111111,0.4716312056737589,-0.25
13,Total,0,-0.2021276595744681,-0.1046099290780142,-0.13297872340425532,-0.9414893617021277,0.1046099290780142,-0.4666666666666666,-0.9414893617021277,0.007092198581560284,-0.8666666666666666,0.6063829787234043,-0.25
14,Non-breeding,0,0.9131205673758866,0.7216312056737589,0.45035460992907805,-0.9255319148936171,0.2145390070921986,0.6444444444444444,-0.9255319148936171,0.44326241134751776,-0.8222222222222221,0.6329787234042554,0.5070921985815603
14,Breeding,0,0.6507092198581561,0.7393617021276596,0.13475177304964542,-0.950354609929078,0.7624113475177307,0.6,-0.950354609929078,-0.13475177304964542,-0.8222222222222221,-0.09397163120567377,0.5070921985815603
