Realisation number,Variable,Time,Frequency,Empirical
1,Non-breeding,78.0,-1.5707963267948966,1.6236103800785728
1,Non-breeding,78.0,-1.4922565104551517,1.16029124230057
1,Non-breeding,78.0,-1.413716694115407,1.1151837958226594
1,Non-breeding,78.0,-1.3351768777756623,1.2325516019840606
1,Non-breeding,78.0,-1.2566370614359172,1.076704714727892
1,Non-breeding,78.0,-1.1780972450961724,0.21547656006728438
1,Non-breeding,78.0,-1.0995574287564276,3.340259481377707
1,Non-breeding,78.0,-1.0210176124166828,4.973490970329545
1,Non-breeding,78.0,-0.942477796076938,1.522381827547338
1,Non-breeding,78.0,-0.8639379797371932,1.3200694301728118
1,Non-breeding,78.0,-0.7853981633974483,1.5824080085228083
1,Non-breeding,78.0,-0.7068583470577035,3.340384490625626
1,Non-breeding,78.0,-0.6283185307179586,1.0188210098257924
1,Non-breeding,78.0,-0.5497787143782138,0.4261940264117296
1,Non-breeding,78.0,-0.471238898038469,0.6009399881986094
1,Non-breeding,78.0,-0.39269908169872414,0.12562270499074044
1,Non-breeding,78.0,-0.3141592653589793,2.669213692046601
1,Non-breeding,78.0,-0.2356194490192345,1.1395581075451486
1,Non-breeding,78.0,-0.15707963267948966,0.9521677502399275
1,Non-breeding,78.0,-0.07853981633974483,6.38069330333464
1,Non-breeding,78.0,0.0,3.6982241185171363
1,Non-breeding,78.0,0.07853981633974483,6.38069330333464
1,Non-breeding,78.0,0.15707963267948966,0.9521677502399275
1,Non-breeding,78.0,0.2356194490192345,1.1395581075451486
1,Non-breeding,78.0,0.3141592653589793,2.669213692046601
1,Non-breeding,78.0,0.39269908169872414,0.12562270499074044
1,Non-breeding,78.0,0.471238898038469,0.6009399881986094
1,Non-breeding,78.0,0.5497787143782138,0.4261940264117296
1,Non-breeding,78.0,0.6283185307179586,1.0188210098257924
1,Non-breeding,78.0,0.7068583470577035,3.340384490625626
1,Non-breeding,78.0,0.7853981633974483,1.5824080085228083
1,Non-breeding,78.0,0.8639379797371932,1.3200694301728118
1,Non-breeding,78.0,0.942477796076938,1.522381827547338
1,Non-breeding,78.0,1.0210176124166828,4.973490970329545
1,Non-breeding,78.0,1.0995574287564276,3.340259481377707
1,Non-breeding,78.0,1.1780972450961724,0.21547656006728438
1,Non-breeding,78.0,1.2566370614359172,1.076704714727892
1,Non-breeding,78.0,1.3351768777756623,1.2325516019840606
1,Non-breeding,78.0,1.413716694115407,1.1151837958226594
1,Non-breeding,78.0,1.4922565104551517,1.16029124230057
1,Non-breeding,78.0,1.5707963267948966,1.6236103800785728
1,Non-breeding,88.0,-1.5707963267948966,3.3542907046956225
1,Non-breeding,88.0,-1.4922565104551517,2.7702303329106717
1,Non-breeding,88.0,-1.413716694115407,1.550591463398991
1,Non-breeding,88.0,-1.3351768777756623,0.6908344029790583
1,Non-breeding,88.0,-1.2566370614359172,2.2958597301274923
1,Non-breeding,88.0,-1.1780972450961724,1.0915131795285198
1,Non-breeding,88.0,-1.0995574287564276,4.916768463618641
1,Non-breeding,88.0,-1.0210176124166828,5.630103421922349
1,Non-breeding,88.0,-0.942477796076938,1.490065819578994
1,Non-breeding,88.0,-0.8639379797371932,1.1489957598833038
1,Non-breeding,88.0,-0.7853981633974483,1.3564294869232496
1,Non-breeding,88.0,-0.7068583470577035,2.6364966384750943
1,Non-breeding,88.0,-0.6283185307179586,1.5278996855169567
1,Non-breeding,88.0,-0.5497787143782138,0.2010813708629787
1,Non-breeding,88.0,-0.471238898038469,0.20733259513610494
1,Non-breeding,88.0,-0.39269908169872414,0.7146735161633943
1,Non-breeding,88.0,-0.3141592653589793,1.8732978664764548
1,Non-breeding,88.0,-0.2356194490192345,0.16192688048957066
1,Non-breeding,88.0,-0.15707963267948966,2.5649946075836483
1,Non-breeding,88.0,-0.07853981633974483,6.735634913252775
1,Non-breeding,88.0,0.0,6.709200426286685
1,Non-breeding,88.0,0.07853981633974483,6.735634913252775
1,Non-breeding,88.0,0.15707963267948966,2.5649946075836483
1,Non-breeding,88.0,0.2356194490192345,0.16192688048957066
