Realisation number,Variable,Time,Frequency,Empirical
1,Non-breeding,159.0,-3.141592653589793,2.828392823588237
1,Non-breeding,159.0,-2.9845130209103035,3.306647963542168
1,Non-breeding,159.0,-2.827433388230814,2.717547231929206
1,Non-breeding,159.0,-2.6703537555513246,6.672393124010134
1,Non-breeding,159.0,-2.5132741228718345,8.476814368579412
1,Non-breeding,159.0,-2.356194490192345,6.232002187195326
1,Non-breeding,159.0,-2.199114857512855,4.318067315994981
1,Non-breeding,159.0,-2.0420352248333655,6.19111809686787
1,Non-breeding,159.0,-1.884955592153876,5.971215460786671
1,Non-breeding,159.0,-1.7278759594743864,10.180505187853699
1,Non-breeding,159.0,-1.5707963267948966,5.207772000462074
1,Non-breeding,159.0,-1.413716694115407,4.418920381099193
1,Non-breeding,159.0,-1.2566370614359172,10.731408984209148
1,Non-breeding,159.0,-1.0995574287564276,18.645005441074282
1,Non-breeding,159.0,-0.942477796076938,29.423833509375036
1,Non-breeding,159.0,-0.7853981633974483,25.90966402407435
1,Non-breeding,159.0,-0.6283185307179586,33.86962041426078
1,Non-breeding,159.0,-0.471238898038469,46.146985883020406
1,Non-breeding,159.0,-0.3141592653589793,17.241719525304994
1,Non-breeding,159.0,-0.15707963267948966,14.427133929312722
1,Non-breeding,159.0,0.0,5.9343336644681814
1,Non-breeding,159.0,0.15707963267948966,14.427133929312722
1,Non-breeding,159.0,0.3141592653589793,17.241719525304994
1,Non-breeding,159.0,0.471238898038469,46.146985883020406
1,Non-breeding,159.0,0.6283185307179586,33.86962041426078
1,Non-breeding,159.0,0.7853981633974483,25.90966402407435
1,Non-breeding,159.0,0.942477796076938,29.423833509375036
1,Non-breeding,159.0,1.0995574287564276,18.645005441074282
1,Non-breeding,159.0,1.2566370614359172,10.731408984209148
1,Non-breeding,159.0,1.413716694115407,4.418920381099193
1,Non-breeding,159.0,1.5707963267948966,5.207772000462074
1,Non-breeding,159.0,1.7278759594743864,10.180505187853699
1,Non-breeding,159.0,1.884955592153876,5.971215460786671
1,Non-breeding,159.0,2.0420352248333655,6.19111809686787
1,Non-breeding,159.0,2.199114857512855,4.318067315994981
1,Non-breeding,159.0,2.356194490192345,6.232002187195326
1,Non-breeding,159.0,2.5132741228718345,8.476814368579412
1,Non-breeding,159.0,2.6703537555513246,6.672393124010134
1,Non-breeding,159.0,2.827433388230814,2.717547231929206
1,Non-breeding,159.0,2.9845130209103035,3.306647963542168
1,Non-breeding,159.0,3.141592653589793,2.828392823588237
1,Non-breeding,169.0,-3.141592653589793,5.105408899651372
1,Non-breeding,169.0,-2.9845130209103035,3.55616053075319
1,Non-breeding,169.0,-2.827433388230814,3.2724822397632427
1,Non-breeding,169.0,-2.6703537555513246,5.947403500885302
1,Non-breeding,169.0,-2.5132741228718345,7.96693294037136
1,Non-breeding,169.0,-2.356194490192345,5.757870244299336
1,Non-breeding,169.0,-2.199114857512855,6.357811555123882
1,Non-breeding,169.0,-2.0420352248333655,5.56394174233486
1,Non-breeding,169.0,-1.884955592153876,5.7982204497612795
1,Non-breeding,169.0,-1.7278759594743864,9.63627371482107
1,Non-breeding,169.0,-1.5707963267948966,7.548102870440606
1,Non-breeding,169.0,-1.413716694115407,8.330448190203535
1,Non-breeding,169.0,-1.2566370614359172,11.187646680089449
1,Non-breeding,169.0,-1.0995574287564276,13.46168765842283
1,Non-breeding,169.0,-0.942477796076938,23.48204680483312
1,Non-breeding,169.0,-0.7853981633974483,27.67176246506248
1,Non-breeding,169.0,-0.6283185307179586,33.39178479141019
1,Non-breeding,169.0,-0.471238898038469,47.184134304577285
1,Non-breeding,169.0,-0.3141592653589793,21.789633796405223
1,Non-breeding,169.0,-0.15707963267948966,19.486813080518278
1,Non-breeding,169.0,0.0,11.011152689342424
1,Non-breeding,169.0,0.15707963267948966,19.486813080518278
1,Non-breeding,169.0,0.3141592653589793,21.789633796405223
1,Non-breeding,169.0,0.471238898038469,47.184134304577285
1,Non-breeding,169.0,0.6283185307179586,33.39178479141019
1,Non-breeding,169.0,0.7853981633974483,27.67176246506248
1,Non-breeding,169.0,0.942477796076938,23.48204680483312
1,Non-breeding,169.0,1.0995574287564276,13.46168765842283
1,Non-breeding,169.0,1.2566370614359172,11.187646680089449
1,Non-breeding,169.0,1.413716694115407,8.330448190203535
1,Non-breeding,169.0,1.5707963267948966,7.548102870440606
1,Non-breeding,169.0,1.7278759594743864,9.63627371482107
1,Non-breeding,169.0,1.884955592153876,5.7982204497612795
1,Non-breeding,169.0,2.0420352248333655,5.56394174233486
1,Non-breeding,169.0,2.199114857512855,6.357811555123882
1,Non-breeding,169.0,2.356194490192345,5.757870244299336
1,Non-breeding,169.0,2.5132741228718345,7.96693294037136
1,Non-breeding,169.0,2.6703537555513246,5.947403500885302
1,Non-breeding,169.0,2.827433388230814,3.2724822397632427
1,Non-breeding,169.0,2.9845130209103035,3.55616053075319
1,Non-breeding,169.0,3.141592653589793,5.105408899651372
1,Non-breeding,179.0,-3.141592653589793,3.6175675390612807
1,Non-breeding,179.0,-2.9845130209103035,3.098920191947368
1,Non-breeding,179.0,-2.827433388230814,2.2645253125335185
1,Non-breeding,179.0,-2.6703537555513246,6.917174213370518
1,Non-breeding,179.0,-2.5132741228718345,9.10229175396997
1,Non-breeding,179.0,-2.356194490192345,9.864049697706731
1,Non-breeding,179.0,-2.199114857512855,9.367772227471523
1,Non-breeding,179.0,-2.0420352248333655,7.083944917446849
1,Non-breeding,179.0,-1.884955592153876,6.010673517731822
1,Non-breeding,179.0,-1.7278759594743864,11.470685869917459
1,Non-breeding,179.0,-1.5707963267948966,6.435089778839932
1,Non-breeding,179.0,-1.413716694115407,4.2288365806734705
1,Non-breeding,179.0,-1.2566370614359172,12.087153058456664
1,Non-breeding,179.0,-1.0995574287564276,19.6833171396226
1,Non-breeding,179.0,-0.942477796076938,33.25782436846987
1,Non-breeding,179.0,-0.7853981633974483,27.13914190577054
1,Non-breeding,179.0,-0.6283185307179586,34.628084261949915
1,Non-breeding,179.0,-0.471238898038469,47.02184689667514
1,Non-breeding,179.0,-0.3141592653589793,20.015467290369113
1,Non-breeding,179.0,-0.15707963267948966,27.052019075034917
1,Non-breeding,179.0,0.0,7.857229864574137
1,Non-breeding,179.0,0.15707963267948966,27.052019075034917
1,Non-breeding,179.0,0.3141592653589793,20.015467290369113
1,Non-breeding,179.0,0.471238898038469,47.02184689667514
