Realisation number,Variable,Time,Frequency,Empirical
1,Non-breeding,159.0,-3.141592653589793,1.4739349274209386
1,Non-breeding,159.0,-2.9845130209103035,1.3743704077502692
1,Non-breeding,159.0,-2.827433388230814,2.1359771375858894
1,Non-breeding,159.0,-2.6703537555513246,1.8793270775456157
1,Non-breeding,159.0,-2.5132741228718345,2.1143455819271133
1,Non-breeding,159.0,-2.356194490192345,1.1782354783207893
1,Non-breeding,159.0,-2.199114857512855,1.2957486825473947
1,Non-breeding,159.0,-2.0420352248333655,1.6868884429556796
1,Non-breeding,159.0,-1.884955592153876,1.2545380453401906
1,Non-breeding,159.0,-1.7278759594743864,2.01439069463404
1,Non-breeding,159.0,-1.5707963267948966,3.147816649699433
1,Non-breeding,159.0,-1.413716694115407,4.127675099372551
1,Non-breeding,159.0,-1.2566370614359172,3.014245879625495
1,Non-breeding,159.0,-1.0995574287564276,4.2238583149596725
1,Non-breeding,159.0,-0.942477796076938,4.254621640884158
1,Non-breeding,159.0,-0.7853981633974483,2.5000021702510264
1,Non-breeding,159.0,-0.6283185307179586,2.373443702676927
1,Non-breeding,159.0,-0.471238898038469,2.155806788213417
1,Non-breeding,159.0,-0.3141592653589793,2.77887241668758
1,Non-breeding,159.0,-0.15707963267948966,2.487149379632458
1,Non-breeding,159.0,0.0,0.42657594051377373
1,Non-breeding,159.0,0.15707963267948966,2.487149379632458
1,Non-breeding,159.0,0.3141592653589793,2.77887241668758
1,Non-breeding,159.0,0.471238898038469,2.155806788213417
1,Non-breeding,159.0,0.6283185307179586,2.373443702676927
1,Non-breeding,159.0,0.7853981633974483,2.5000021702510264
1,Non-breeding,159.0,0.942477796076938,4.254621640884158
1,Non-breeding,159.0,1.0995574287564276,4.2238583149596725
1,Non-breeding,159.0,1.2566370614359172,3.014245879625495
1,Non-breeding,159.0,1.413716694115407,4.127675099372551
1,Non-breeding,159.0,1.5707963267948966,3.147816649699433
1,Non-breeding,159.0,1.7278759594743864,2.01439069463404
1,Non-breeding,159.0,1.884955592153876,1.2545380453401906
1,Non-breeding,159.0,2.0420352248333655,1.6868884429556796
1,Non-breeding,159.0,2.199114857512855,1.2957486825473947
1,Non-breeding,159.0,2.356194490192345,1.1782354783207893
1,Non-breeding,159.0,2.5132741228718345,2.1143455819271133
1,Non-breeding,159.0,2.6703537555513246,1.8793270775456157
1,Non-breeding,159.0,2.827433388230814,2.1359771375858894
1,Non-breeding,159.0,2.9845130209103035,1.3743704077502692
1,Non-breeding,159.0,3.141592653589793,1.4739349274209386
1,Non-breeding,169.0,-3.141592653589793,1.0916426902423364
1,Non-breeding,169.0,-2.9845130209103035,1.5436366253365068
1,Non-breeding,169.0,-2.827433388230814,2.3386281747775466
1,Non-breeding,169.0,-2.6703537555513246,1.7876088431400947
1,Non-breeding,169.0,-2.5132741228718345,1.5403946507940642
