,Time,Non-breeding,Breeding,rb
0,901,0.0,0.0,0.0
1,902,0.0,0.0,0.0
2,903,0.0,0.0,0.0
3,904,0.0,0.0,0.0
4,905,0.0,0.0,0.0
5,906,0.0,0.0,0.0
6,907,0.0,0.0,0.0
7,908,0.0,0.0,0.0
8,909,0.0,0.0,0.0
9,910,0.0,0.0,0.0
10,911,0.0,0.0,0.0
11,912,0.0,0.0,0.0
12,913,0.0,0.0,0.0
13,914,0.0,0.0,0.0
14,915,0.0,0.0,0.0
15,916,0.0,0.0,0.0
16,917,0.0,0.0,0.0
17,918,0.0,0.0,0.0
18,919,0.0,0.0,0.0
19,920,0.0,0.0,0.0
20,921,0.0,0.0,0.0
21,922,0.0,0.0,0.0
22,923,0.0,0.0,0.0
23,924,0.0,0.0,0.0
24,925,0.0,0.0,0.0
25,926,0.0,0.0,0.0
26,927,0.0,0.0,0.0
27,928,0.0,0.0,0.0
28,929,0.0,0.0,0.0
29,930,0.0,0.0,0.0
30,931,0.0,0.0,0.0
31,932,0.0,0.0,0.0
32,933,0.0,0.0,0.0
33,934,0.0,0.0,0.0
34,935,0.0,0.0,0.0
35,936,0.0,0.0,0.0
36,937,0.0,0.0,0.0
37,938,0.0,0.0,0.0
38,939,0.0,0.0,0.0
39,940,0.0,0.0,0.0
40,941,0.0,0.0,0.0
41,942,0.0,0.0,0.0
42,943,0.0,0.0,0.0
43,944,0.0,0.0,0.0
44,945,0.0,0.0,0.0
45,946,0.0,0.0,0.0
46,947,0.0,0.0,0.0
47,948,0.0,0.0,0.0
48,949,0.0,0.0,0.0
49,950,0.0,0.0,0.0
50,951,0.0,0.0,0.0
51,952,0.0,0.0,0.0
52,953,0.0,0.0,0.0
53,954,0.0,0.0,0.0
54,955,0.0,0.0,0.0
55,956,0.0,0.0,0.0
56,957,0.0,0.0,0.0
57,958,0.0,0.0,0.0
58,959,0.0,0.0,0.0
59,960,0.0,0.0,0.0
60,961,0.0,0.0,0.0
61,962,0.0,0.0,0.0
62,963,0.0,0.0,0.0
63,964,0.0,0.0,0.0
64,965,0.0,0.0,0.0
65,966,0.0,0.0,0.0
66,967,0.0,0.0,0.0
67,968,0.0,0.0,0.0
68,969,0.0,0.0,0.0
69,970,0.0,0.0,0.0
70,971,0.0,0.0,0.0
71,972,0.0,0.0,0.0
72,973,0.0,0.0,0.0
73,974,0.0,0.0,0.0
74,975,0.0,0.0,0.0
75,976,0.0,0.0,0.0
76,977,0.0,0.0,0.0
77,978,0.0,0.0,0.0
78,979,0.0,0.0,0.0
79,980,0.0,0.0,0.0
80,981,0.0,0.0,0.0
81,982,0.0,0.0,0.0
82,983,0.0,0.0,0.0
83,984,0.0,0.0,0.0
84,985,0.0,0.0,0.0
85,986,0.0,0.0,0.0
86,987,0.0,0.0,0.0
87,988,0.0,0.0,0.0
88,989,0.0,0.0,0.0
89,990,0.0,0.0,0.0
90,991,0.0,0.0,0.0
91,992,0.0,0.0,0.0
92,993,0.0,0.0,0.0
93,994,0.0,0.0,0.0
94,995,0.0,0.0,0.0
95,996,0.0,0.0,0.0
96,997,0.0,0.0,0.0
97,998,0.0,0.0,0.0
98,999,0.0,0.0,0.0
99,1000,0.0,0.0,0.0
0,901,4.096584717412359e-19,3.8703836280483463e-19,0.01
1,902,3.9092816301900603e-19,3.693422854068306e-19,0.01
2,903,3.730542370864177e-19,3.5245530391603014e-19,0.01
3,904,3.5599753861008744e-19,3.363404250388162e-19,0.01
4,905,3.397207025076164e-19,3.209623468802805e-19,0.01
5,906,3.24188072094154e-19,3.062873816104876e-19,0.01
6,907,3.0936562097144532e-19,2.922833816665744e-19,0.01
7,908,2.952208784882491e-19,2.789196693290194e-19,0.01
8,909,2.817228586088369e-19,2.6616696951781e-19,0.01
9,910,2.688419920337506e-19,2.5399734566128696e-19,0.01
10,911,2.5655006142411806e-19,2.4238413849717903e-19,0.01
11,912,2.448201395876278e-19,2.313019076717622e-19,0.01
12,913,2.3362653049075017e-19,2.2072637600920846e-19,0.01
13,914,2.2294471296798387e-19,2.106343763290385e-19,0.01
14,915,2.1275128700481485e-19,2.010038006951742e-19,0.01
15,916,2.030239224767135e-19,1.9181355198541415e-19,0.01
16,917,1.937413102318753e-19,1.8304349767523828e-19,0.01
17,918,1.8488311541054492e-19,1.7467442573469853e-19,0.01
18,919,1.7642993289866335e-19,1.666880025417816e-19,0.01
19,920,1.6836324481825273e-19,1.59066732720047e-19,0.01
20,921,1.6066537996141617e-19,1.5179392081255924e-19,0.01
21,922,1.5331947507908643e-19,1.448536347081556e-19,0.01
22,923,1.463094379397216e-19,1.382306707399293e-19,0.01
23,924,1.3961991207702218e-19,1.3191052037947194e-19,0.01
24,925,1.3323624314944517e-19,1.2587933845391383e-19,0.01
25,926,1.271444468378202e-19,1.201239128161373e-19,0.01
26,927,1.2133117821074351e-19,1.1463163540172154e-19,0.01
27,928,1.1578370249064026e-19,1.0939047460921495e-19,0.01
28,929,1.10489867156454e-19,1.043889489432303e-19,0.01
29,930,1.0543807532185044e-19,9.961610186262401e-20,0.01
30,931,1.0061726033061688e-19,9.506147777866118e-20,0.01
31,932,9.601686151360463e-20,9.07150991505868e-20,0.01
32,933,9.162680105410705e-20,8.656744462842804e-20,0.01
33,934,8.74374619109932e-20,8.260942819514606e-20,0.01
34,935,8.343966675123485e-20,7.883237926244554e-20,0.01
35,936,7.962465784567561e-20,7.522802367663895e-20,0.01
36,937,7.598407788400092e-20,7.178846559295626e-20,0.01
