,Time,Non-breeding,Breeding,rnb
0,981,1.2659827815780619e-109,1.0391819488371478e-110,-2.5
1,982,9.761380313357747e-110,8.012628895893235e-111,-2.5
2,983,7.526527770246205e-110,6.178150216633959e-111,-2.5
3,984,5.803341172842918e-110,4.7636725218682616e-111,-2.5
4,985,4.474675414279661e-110,3.673037252235398e-111,-2.5
5,986,3.450205574136563e-110,2.8321011980516776e-111,-2.5
6,987,2.6602864792863015e-110,2.1836961199139264e-111,-2.5
7,988,2.0512181085454895e-110,1.683742356172728e-111,-2.5
8,989,1.5815949754229916e-110,1.2982522138116152e-111,-2.5
9,990,1.2194913138988505e-110,1.0010194282324367e-111,-2.5
10,991,9.402907114553835e-111,7.718376175587998e-112,-2.5
11,992,7.250126441840372e-111,5.9512661900155925e-112,-2.5
12,993,5.5902214902573875e-111,4.588733233350671e-112,-2.5
13,994,4.310349145056135e-111,3.5381500364045625e-112,-2.5
14,995,3.3235015436625802e-111,2.728096196380684e-112,-2.5
15,996,2.5625911356616335e-111,2.1035028984440043e-112,-2.5
16,997,1.975889958918065e-111,1.621909245587648e-112,-2.5
17,998,1.5235130861971176e-111,1.2505756958398222e-112,-2.5
18,999,1.1747071811047732e-111,9.642583734446935e-113,-2.5
19,1000,9.057598348456728e-112,7.434929479688985e-113,-2.5
0,981,2.2267125107666755e-105,1.8461665984018387e-106,-2.49
1,982,1.7341654470599809e-105,1.4377959925156237e-106,-2.49
2,983,1.3505694081456858e-105,1.1197566448680953e-106,-2.49
3,984,1.0518245126561439e-105,8.720673518726816e-107,-2.49
4,985,8.191617541103035e-106,6.791667365294508e-107,-2.49
5,986,6.3796381556325e-106,5.289355862451867e-107,-2.49
6,987,4.968467191318803e-106,4.11935448762084e-107,-2.49
7,988,3.869446139263667e-106,3.2081565007078154e-107,-2.49
8,989,3.013527683311168e-106,2.4985147949668643e-107,-2.49
9,990,2.346937719570094e-106,1.9458452788356844e-107,-2.49
10,991,1.8277969338210063e-106,1.515425826893027e-107,-2.49
11,992,1.4234896833553124e-106,1.1802148206709207e-107,-2.49
12,993,1.1086148800911835e-106,9.191522265309907e-108,-2.49
13,994,8.633901367396252e-107,7.158364737841608e-108,-2.49
14,995,6.724089145889474e-107,5.574940063341776e-108,-2.49
15,996,5.236725892260656e-107,4.341767686906722e-108,-2.49
16,997,4.0783662256229e-107,3.381372074477077e-108,-2.49
17,998,3.176234810167084e-107,2.6334152194585282e-108,-2.49
18,999,2.4736541573767797e-107,2.050905835066457e-108,-2.49
19,1000,1.926483794812872e-107,1.59724707035547e-108,-2.49
0,981,3.911119279711821e-101,3.2752974415889398e-102,-2.48
1,982,3.076595393375869e-101,2.576440220833863e-102,-2.48
2,983,2.4201356536584722e-101,2.026699660080381e-102,-2.48
3,984,1.9037461327282698e-101,1.5942584186333413e-102,-2.48
4,985,1.4975397484017622e-101,1.2540880898368916e-102,-2.48
5,986,1.178006489147423e-101,9.86500631697434e-103,-2.48
6,987,9.266527248805577e-102,7.760088818529564e-103,-2.48
7,988,7.289308509242867e-102,6.10430206900639e-103,-2.48
8,989,5.733973161279945e-102,4.801814079846635e-103,-2.48
9,990,4.5105030432706676e-102,3.7772407388690194e-103,-2.48
10,991,3.5480873612621857e-102,2.971282803149985e-103,-2.48
11,992,2.7910243718669454e-102,2.3372938360657064e-103,-2.48
12,993,2.1954975318263166e-102,1.8385804509484067e-103,-2.48
13,994,1.7270395274374332e-102,1.446278607528325e-103,-2.48
14,995,1.3585374094454997e-102,1.1376830475463198e-103,-2.48
15,996,1.0686633765710102e-102,8.949331822630397e-104,-2.48
16,997,8.406403861122147e-103,7.039793749610592e-104,-2.48
17,998,6.612711488536132e-103,5.537697899605873e-104,-2.48
18,999,5.201743094077403e-103,4.356107453999714e-104,-2.48
19,1000,4.091836043911824e-103,3.4266354891158656e-104,-2.48
0,981,6.859352985701246e-97,5.8019740513750167e-98,-2.47
1,982,5.449986438571211e-97,4.609863344669856e-98,-2.47
2,983,4.3301973586323e-97,3.662691330288609e-98,-2.47
3,984,3.4404873069045423e-97,2.9101313375119372e-98,-2.47
4,985,2.7335827743218594e-97,2.3121971353512052e-98,-2.47
5,986,2.1719233694230054e-97,1.837118319648482e-98,-2.47
6,987,1.72566609906884e-97,1.45965223673518e-98,-2.47
7,988,1.3710997024110408e-97,1.159742750055252e-98,-2.47
8,989,1.0893847859478935e-97,9.21454585178523e-99,-2.47
9,990,8.655528184915032e-98,7.321266311051071e-99,-2.47
10,991,6.877107990329683e-98,5.816992097005702e-99,-2.47
11,992,5.464093386361107e-98,4.621795686567364e-99,-2.47
12,993,4.3414058026801324e-98,3.672171976882738e-99,-2.47
13,994,3.449392792332324e-98,2.9176640298044317e-99,-2.47
14,995,2.7406584817408364e-98,2.3181821124949102e-99,-2.47
15,996,2.177545256728865e-98,1.8418735850993703e-99,-2.47
16,997,1.7301328774428326e-98,1.463430454924734e-99,-2.47
17,998,1.374648707924113e-98,1.1627446713644418e-99,-2.47
18,999,1.092204590083499e-98,9.238397125307453e-100,-2.47
19,1000,8.677932476297198e-99,7.340216949326976e-100,-2.47
0,981,1.2010122461326031e-92,1.0260842235949128e-93,-2.46
1,982,9.638349041045532e-93,8.234518777276526e-94,-2.46
2,983,7.734956286762668e-93,6.608356110939417e-94,-2.46
3,984,6.207447821545094e-93,5.303330002659101e-94,-2.46
4,985,4.981593564161175e-93,4.25602201893233e-94,-2.46
5,986,3.997822479048246e-93,3.415537674735415e-94,-2.46
6,987,3.2083276903531747e-93,2.741033189124225e-94,-2.46
7,988,2.5747432815319655e-93,2.1997306601112323e-94,-2.46
8,989,2.0662798833570006e-93,1.7653252051936758e-94,-2.46
9,990,1.6582284482457107e-93,1.4167066616848946e-94,-2.46
10,991,1.3307595010333339e-93,1.1369337272007974e-94,-2.46
11,992,1.067959515146419e-93,9.124106881161846e-95,-2.46
12,993,8.570575863678957e-94,7.322267286751186e-95,-2.46
13,994,6.87804823996587e-94,5.876257141323542e-95,-2.46
14,995,5.519763005865353e-94,4.715806817573401e-95,-2.46
15,996,4.429713572504821e-94,3.784523618662267e-95,-2.46
16,997,3.554928411524646e-94,3.037151345309453e-95,-2.46
17,998,2.8528968756594227e-94,2.4373710468678672e-95,-2.46
18,999,2.289503371365111e-94,1.956036082720949e-95,-2.46
19,1000,1.8373694935189712e-94,1.5697557258764514e-95,-2.46
0,981,2.0990456526328468e-88,1.8113417759160016e-89,-2.45
1,982,1.7014533375963954e-88,1.4682451076251718e-89,-2.45
2,983,1.3791712707090323e-88,1.190136353463766e-89,-2.45
3,984,1.1179345045314259e-88,9.64705778674135e-90,-2.45
4,985,9.061800973996606e-89,7.819753061896559e-90,-2.45
5,986,7.345353109638946e-89,6.338568639350484e-90,-2.45
6,987,5.954027511761454e-89,5.137943881058187e-90,-2.45
7,988,4.8262409011069075e-89,4.164736366664688e-90,-2.45
8,989,3.9120748416942194e-89,3.3758696874375124e-90,-2.45
9,990,3.1710662357336475e-89,2.7364267850851468e-90,-2.45
10,991,2.570416333613678e-89,2.218104442240867e-90,-2.45
11,992,2.083538985611696e-89,1.7979605167969356e-90,-2.45
12,993,1.6888838776015454e-89,1.457398469792012e-90,-2.45
13,994,1.3689826644568544e-89,1.1813442397144625e-90,-2.45
14,995,1.1096757808150169e-89,9.575790297801716e-91,-2.45
15,996,8.994857060633192e-90,7.761984758112238e-91,-2.45
16,997,7.291089428102969e-90,6.291742562386493e-91,-2.45
17,998,5.910042226380048e-90,5.099987400770588e-91,-2.45
