,Time,Non-breeding,Breeding,rnb
0,981,1.9578296087387113e-109,1.6070844073914546e-110,-2.5
1,982,1.5095876245511596e-109,1.239144980839366e-110,-2.5
2,983,1.1639699318196107e-109,9.554447025167232e-111,-2.5
3,984,8.9748086175718e-110,7.366971530231362e-111,-2.5
4,985,6.92004041686225e-110,5.680315080954619e-111,-2.5
5,986,5.335708137246411e-110,4.379815951033973e-111,-2.5
6,987,4.114106220608839e-110,3.3770640345725e-111,-2.5
7,988,3.172188125564763e-110,2.6038905792173168e-111,-2.5
8,989,2.4459206846839534e-110,2.0077339603644794e-111,-2.5
9,990,1.8859310226753076e-110,1.5480664540107069e-111,-2.5
10,991,1.4541501057499378e-110,1.1936390942942594e-111,-2.5
11,992,1.1212247450349135e-110,9.203573165327215e-112,-2.5
12,993,8.645221177013695e-111,7.0964296841847e-112,-2.5
13,994,6.665911498158986e-111,5.471713361534116e-112,-2.5
14,995,5.1397616314817134e-111,4.218973264473443e-112,-2.5
15,996,3.963021356606301e-111,3.253046026035098e-112,-2.5
16,997,3.05569390158469e-111,2.5082662970663523e-112,-2.5
17,998,2.3560976285471622e-111,1.9340027059706505e-112,-2.5
18,999,1.816672812799312e-111,1.4912158533870589e-112,-2.5
19,1000,1.4007484531951352e-111,1.1498043485295104e-112,-2.5
0,981,3.4467842238457094e-105,2.857727647908802e-106,-2.49
1,982,2.684358252609203e-105,2.225600529996179e-106,-2.49
2,983,2.0905803091762352e-105,1.7332994355651578e-106,-2.49
3,984,1.6281455818601116e-105,1.349894957715369e-106,-2.49
4,985,1.268001054106903e-105,1.0512992501328703e-106,-2.49
5,986,9.875202138738229e-106,8.187526792458602e-107,-2.49
6,987,7.690815158637745e-106,6.376452277384867e-107,-2.49
7,988,5.989612868004506e-106,4.9659860268447765e-107,-2.49
8,989,4.664715191896472e-106,3.867513806428366e-107,-2.49
9,990,3.632883844254051e-106,3.012022780985881e-107,-2.49
10,991,2.8292927827125103e-106,2.3457657004607146e-107,-2.49
11,992,2.203455434714777e-106,1.826884164420847e-107,-2.49
12,993,1.716052818018811e-106,1.4227788178317047e-107,-2.49
13,994,1.3364632784649409e-106,1.1080612574647393e-107,-2.49
14,995,1.040838647814673e-106,8.629589750046245e-108,-2.49
15,996,8.106059539690495e-107,6.720731254920984e-108,-2.49
16,997,6.313005517134389e-107,5.2341107641449276e-108,-2.49
17,998,4.9165736402783605e-107,4.076329561798539e-108,-2.49
18,999,3.8290314010770146e-107,3.174648654785818e-108,-2.49
19,1000,2.9820526535637773e-107,2.4724188583237773e-108,-2.49
0,981,6.059825543507322e-101,5.074693375392852e-102,-2.48
1,982,4.7668276057256304e-101,3.9918951954538886e-102,-2.48
2,983,3.749719403564954e-101,3.1401359792017443e-102,-2.48
3,984,2.949633754026053e-101,2.470118448777596e-102,-2.48
4,985,2.3202640908592228e-101,1.9430639919429536e-102,-2.48
5,986,1.825184378902122e-101,1.528468271897525e-102,-2.48
6,987,1.4357408840278625e-101,1.2023357274308416e-102,-2.48
7,988,1.1293937806486403e-101,9.457907815528216e-103,-2.48
8,989,8.884126139735082e-102,7.439853795093601e-103,-2.48
9,990,6.988501142745265e-102,5.85239627748236e-103,-2.48
10,991,5.497349705978873e-102,4.60365796586981e-103,-2.48
11,992,4.324368440749009e-102,3.62136561877417e-103,-2.48
12,993,3.4016686970101008e-102,2.848667090836282e-103,-2.48
13,994,2.675847371186106e-102,2.2408409005552263e-103,-2.48
14,995,2.104896094136687e-102,1.7627078845942074e-103,-2.48
15,996,1.6557699122980854e-102,1.3865951329434909e-103,-2.48
16,997,1.302474744529398e-102,1.0907343635926318e-103,-2.48
17,998,1.024562922382366e-102,8.580020394246604e-104,-2.48
18,999,8.05949740161738e-103,6.749283090633615e-104,-2.48
19,1000,6.339825202305727e-103,5.309174121317779e-104,-2.48
0,981,1.0637938773400745e-96,8.998085512153802e-98,-2.47
1,982,8.452199816839994e-97,7.149281297604618e-98,-2.47
2,983,6.7155567695519e-97,5.680344224695507e-98,-2.47
3,984,5.335735512927723e-97,4.513224360306329e-98,-2.47
4,985,4.2394211590914386e-97,3.585908409899993e-98,-2.47
5,986,3.368362566061781e-97,2.849124727164844e-98,-2.47
6,987,2.6762772441504414e-97,2.2637253334556122e-98,-2.47
7,988,2.1263922000925452e-97,1.7986058442685488e-98,-2.47
8,989,1.6894900550745204e-97,1.4290527809302408e-98,-2.47
9,990,1.342356619851915e-97,1.135430454199912e-98,-2.47
10,991,1.0665474410151404e-97,9.02137649167453e-99,-2.47
11,992,8.474077805504718e-98,7.167786763469053e-99,-2.47
12,993,6.73293956670121e-98,5.695047439154779e-99,-2.47
13,994,5.3495467293683494e-98,4.524906558259034e-99,-2.47
14,995,4.250394634644963e-98,3.5951903087245125e-99,-2.47
15,996,3.377081361125305e-98,2.8564995076759607e-99,-2.47
16,997,2.683204619801751e-98,2.269584844382781e-99,-2.47
17,998,2.131896232824674e-98,1.8032614225944199e-99,-2.47
18,999,1.6938631940294747e-98,1.4327517943492313e-99,-2.47
19,1000,1.3458312257000424e-98,1.1383694446574107e-99,-2.47
0,981,1.864417027946356e-92,1.592863773652357e-93,-2.46
1,982,1.4962297121682866e-92,1.2783031209494672e-93,-2.46
2,983,1.2007524700850387e-92,1.0258622840560513e-93,-2.46
3,984,9.636264289431224e-93,8.232737670757053e-94,-2.46
4,985,7.733283234403105e-93,6.606926739476367e-94,-2.46
5,986,6.20610516557657e-93,5.302182905190733e-94,-2.46
6,987,4.980516057507239e-93,4.25510145165087e-94,-2.46
7,988,3.996957759703532e-93,3.414798902187254e-94,-2.46
8,989,3.2076337368240805e-93,2.740440310266907e-94,-2.46
9,990,2.5741863707799547e-93,2.1992548636833202e-94,-2.46
10,991,2.0658329520097246e-93,1.764943369616273e-94,-2.46
11,992,1.657869777438123e-93,1.416400231456298e-94,-2.46
12,993,1.3304716609679647e-93,1.136687811182085e-94,-2.46
13,994,1.0677285180831534e-93,9.122133358884476e-95,-2.46
14,995,8.568722068823509e-94,7.320683498025399e-95,-2.46
15,996,6.876560534746806e-94,5.874986121099096e-95,-2.46
16,997,5.518569094461226e-94,4.714786799950692e-95,-2.46
17,998,4.428755436159908e-94,3.783705035345791e-95,-2.46
18,999,3.5541594890968426e-94,3.0364944168102825e-95,-2.46
19,1000,2.8522798009569355e-94,2.4368438493983655e-95,-2.46
0,981,3.2617045587625305e-88,2.814641844769655e-89,-2.45
1,982,2.6438863303420475e-88,2.281504337418747e-89,-2.45
2,983,2.1430926075111935e-88,1.8493514730242863e-89,-2.45
3,984,1.737157105303743e-88,1.499055169295246e-89,-2.45
4,985,1.4081121823343876e-88,1.2151105040708984e-89,-2.45
5,986,1.1413935515589542e-88,9.849494317127631e-90,-2.45
6,987,9.251956313456488e-89,7.983844924236544e-90,-2.45
7,988,7.49949003209224e-89,6.471578917855185e-90,-2.45
8,989,6.078968472824423e-89,5.245759917366205e-90,-2.45
9,990,4.927516075820925e-89,4.252130347158917e-90,-2.45
10,991,3.99416690282528e-89,3.44670987121876e-90,-2.45
11,992,3.2376087672057066e-89,2.793848722039859e-90,-2.45
12,993,2.6243546613119047e-89,2.26464975970945e-90,-2.45
13,994,2.127260544297856e-89,1.83568941786065e-90,-2.45
14,995,1.7243238842818074e-89,1.4879809226120267e-90,-2.45
15,996,1.397709775548953e-89,1.206133894173493e-90,-2.45
16,997,1.1329615244985075e-89,9.776731331477062e-91,-2.45
17,998,9.183607630488563e-90,7.924864394378437e-91,-2.45
18,999,7.4440876664456285e-90,6.423770229533229e-91,-2.45
19,1000,6.0340601880418e-90,5.207006947791929e-91,-2.45
0,981,5.694807544721556e-84,4.9636427451004594e-85,-2.44
1,982,4.662514069724053e-84,4.063886962706161e-85,-2.44
2,983,3.817343655541861e-84,3.3272292334002085e-85,-2.44
3,984,3.125376645859245e-84,2.7241048959248297e-85,-2.44
4,985,2.5588419749166773e-84,2.230308452903954e-85,-2.44
5,986,2.095002617131082e-84,1.826022119242243e-85,-2.44
6,987,1.715243070424074e-84,1.4950204648242543e-85,-2.44
7,988,1.4043222507600923e-84,1.2240192310325566e-85,-2.44
8,989,1.1497618139289773e-84,1.0021421868052177e-85,-2.44
9,990,9.413453557783783e-85,8.204846272942518e-86,-2.44
10,991,7.707083920428927e-85,6.717559967935301e-86,-2.44
11,992,6.310026622207981e-85,5.4998729313941745e-86,-2.44
12,993,5.166212848342456e-85,4.502915106953561e-86,-2.44
13,994,4.229737335884566e-85,3.686675076562311e-86,-2.44
14,995,3.463016034330828e-85,3.0183942617876883e-86,-2.44
15,996,2.835277725708806e-85,2.4712522070396935e-86,-2.44
16,997,2.3213290675547985e-85,2.0232901805152334e-86,-2.44
17,998,1.90054349562095e-85,1.6565298931885232e-86,-2.44
18,999,1.5560334074272007e-85,1.3562519669464287e-86,-2.44
19,1000,1.2739724034773705e-85,1.110405194261544e-86,-2.44
0,981,9.920877520079887e-80,8.734026333054964e-81,-2.43
1,982,8.204160281963437e-80,7.222682852221654e-81,-2.43
2,983,6.784505281505015e-80,5.972863556220794e-81,-2.43
3,984,5.6105086118275554e-80,4.939314073614219e-81,-2.43
4,985,4.639661342618692e-80,4.0846108885902763e-81,-2.43
5,986,3.836810325682452e-80,3.377806282924243e-81,-2.43
6,987,3.1728853440313105e-80,2.7933077583554802e-81,-2.43
7,988,2.62384651620172e-80,2.309951364686923e-81,-2.43
8,989,2.169813842638483e-80,1.9102353799927859e-81,-2.43
9,990,1.794347376126639e-80,1.579686595466804e-81,-2.43
10,991,1.4838519521552303e-80,1.3063362588891668e-81,-2.43
11,992,1.2270849252544567e-80,1.0802867012897974e-81,-2.43
12,993,1.014749087063381e-80,8.933529549091426e-82,-2.43
13,994,8.391560262077512e-81,7.387663858974082e-82,-2.43
