Realisation number,Variable,Time,Frequency,Empirical
1,Non-breeding,399.0,-3.141592653589793,3.775361942421336
1,Non-breeding,399.0,-2.9845130209103035,4.0124484187292095
1,Non-breeding,399.0,-2.827433388230814,3.0496474395363338
1,Non-breeding,399.0,-2.6703537555513246,2.022360185628873
1,Non-breeding,399.0,-2.5132741228718345,1.7898569669143696
1,Non-breeding,399.0,-2.356194490192345,1.2310645621949972
1,Non-breeding,399.0,-2.199114857512855,0.977803221911341
1,Non-breeding,399.0,-2.0420352248333655,0.5842066990844469
1,Non-breeding,399.0,-1.884955592153876,0.5402605344776127
1,Non-breeding,399.0,-1.7278759594743864,0.4116052593705772
1,Non-breeding,399.0,-1.5707963267948966,0.4532224231456343
1,Non-breeding,399.0,-1.413716694115407,0.393802550213667
1,Non-breeding,399.0,-1.2566370614359172,0.28687208731038166
1,Non-breeding,399.0,-1.0995574287564276,0.30433459036915983
1,Non-breeding,399.0,-0.942477796076938,0.3214863461753445
1,Non-breeding,399.0,-0.7853981633974483,0.2330739195692723
1,Non-breeding,399.0,-0.6283185307179586,0.18394396004307403
1,Non-breeding,399.0,-0.471238898038469,0.13979091964371035
1,Non-breeding,399.0,-0.3141592653589793,0.16595593194763966
1,Non-breeding,399.0,-0.15707963267948966,0.14899478833678031
1,Non-breeding,399.0,0.0,0.08722784452967647
1,Non-breeding,399.0,0.15707963267948966,0.14899478833678031
1,Non-breeding,399.0,0.3141592653589793,0.16595593194763966
1,Non-breeding,399.0,0.471238898038469,0.13979091964371035
1,Non-breeding,399.0,0.6283185307179586,0.18394396004307403
1,Non-breeding,399.0,0.7853981633974483,0.2330739195692723
1,Non-breeding,399.0,0.942477796076938,0.3214863461753445
1,Non-breeding,399.0,1.0995574287564276,0.30433459036915983
1,Non-breeding,399.0,1.2566370614359172,0.28687208731038166
1,Non-breeding,399.0,1.413716694115407,0.393802550213667
1,Non-breeding,399.0,1.5707963267948966,0.4532224231456343
1,Non-breeding,399.0,1.7278759594743864,0.4116052593705772
1,Non-breeding,399.0,1.884955592153876,0.5402605344776127
1,Non-breeding,399.0,2.0420352248333655,0.5842066990844469
1,Non-breeding,399.0,2.199114857512855,0.977803221911341
1,Non-breeding,399.0,2.356194490192345,1.2310645621949972
1,Non-breeding,399.0,2.5132741228718345,1.7898569669143696
1,Non-breeding,399.0,2.6703537555513246,2.022360185628873
1,Non-breeding,399.0,2.827433388230814,3.0496474395363338
1,Non-breeding,399.0,2.9845130209103035,4.0124484187292095
1,Non-breeding,399.0,3.141592653589793,3.775361942421336
1,Non-breeding,419.0,-3.141592653589793,3.332120642869998
1,Non-breeding,419.0,-2.9845130209103035,3.372838253447444
1,Non-breeding,419.0,-2.827433388230814,2.7929777705040038
1,Non-breeding,419.0,-2.6703537555513246,1.9713578911057748
1,Non-breeding,419.0,-2.5132741228718345,1.3553173093819406
1,Non-breeding,419.0,-2.356194490192345,1.2148863176208888
1,Non-breeding,419.0,-2.199114857512855,0.8259447731781867
1,Non-breeding,419.0,-2.0420352248333655,0.5090959616185128
1,Non-breeding,419.0,-1.884955592153876,0.5663172061174485
1,Non-breeding,419.0,-1.7278759594743864,0.4198215409801122
1,Non-breeding,419.0,-1.5707963267948966,0.39779541013678904
1,Non-breeding,419.0,-1.413716694115407,0.33327917831511733
1,Non-breeding,419.0,-1.2566370614359172,0.27119488861830005
1,Non-breeding,419.0,-1.0995574287564276,0.30457993272342054
1,Non-breeding,419.0,-0.942477796076938,0.3312645025976388
1,Non-breeding,419.0,-0.7853981633974483,0.23373014692667687
1,Non-breeding,419.0,-0.6283185307179586,0.1717205485279868
1,Non-breeding,419.0,-0.471238898038469,0.1371685919773904
1,Non-breeding,419.0,-0.3141592653589793,0.15722987122882118
1,Non-breeding,419.0,-0.15707963267948966,0.1381364085047869
1,Non-breeding,419.0,0.0,0.07377521746710339
1,Non-breeding,419.0,0.15707963267948966,0.1381364085047869
1,Non-breeding,419.0,0.3141592653589793,0.15722987122882118
1,Non-breeding,419.0,0.471238898038469,0.1371685919773904
1,Non-breeding,419.0,0.6283185307179586,0.1717205485279868
1,Non-breeding,419.0,0.7853981633974483,0.23373014692667687
1,Non-breeding,419.0,0.942477796076938,0.3312645025976388
1,Non-breeding,419.0,1.0995574287564276,0.30457993272342054
1,Non-breeding,419.0,1.2566370614359172,0.27119488861830005
1,Non-breeding,419.0,1.413716694115407,0.33327917831511733
1,Non-breeding,419.0,1.5707963267948966,0.39779541013678904
1,Non-breeding,419.0,1.7278759594743864,0.4198215409801122
1,Non-breeding,419.0,1.884955592153876,0.5663172061174485
1,Non-breeding,419.0,2.0420352248333655,0.5090959616185128
1,Non-breeding,419.0,2.199114857512855,0.8259447731781867
1,Non-breeding,419.0,2.356194490192345,1.2148863176208888
1,Non-breeding,419.0,2.5132741228718345,1.3553173093819406
1,Non-breeding,419.0,2.6703537555513246,1.9713578911057748
1,Non-breeding,419.0,2.827433388230814,2.7929777705040038
1,Non-breeding,419.0,2.9845130209103035,3.372838253447444
1,Non-breeding,419.0,3.141592653589793,3.332120642869998
1,Non-breeding,439.0,-3.141592653589793,3.275470908738505
1,Non-breeding,439.0,-2.9845130209103035,2.0957851630393867
1,Non-breeding,439.0,-2.827433388230814,1.6669466354321685
1,Non-breeding,439.0,-2.6703537555513246,1.4856267415761346
1,Non-breeding,439.0,-2.5132741228718345,1.0721199314298484
1,Non-breeding,439.0,-2.356194490192345,1.1113930499552953
1,Non-breeding,439.0,-2.199114857512855,0.812342399603956
1,Non-breeding,439.0,-2.0420352248333655,0.5088506387938494
1,Non-breeding,439.0,-1.884955592153876,0.553034653538145
1,Non-breeding,439.0,-1.7278759594743864,0.41310668758390945
1,Non-breeding,439.0,-1.5707963267948966,0.3666087685564677
1,Non-breeding,439.0,-1.413716694115407,0.333455532020373
1,Non-breeding,439.0,-1.2566370614359172,0.25389478447247366
1,Non-breeding,439.0,-1.0995574287564276,0.28227442617865445
1,Non-breeding,439.0,-0.942477796076938,0.282229760731957
1,Non-breeding,439.0,-0.7853981633974483,0.1890983163814244
1,Non-breeding,439.0,-0.6283185307179586,0.1687873356054222
1,Non-breeding,439.0,-0.471238898038469,0.14738946500442132
1,Non-breeding,439.0,-0.3141592653589793,0.15187989679326708
1,Non-breeding,439.0,-0.15707963267948966,0.13755151488774214
1,Non-breeding,439.0,0.0,0.08030090625165043
1,Non-breeding,439.0,0.15707963267948966,0.13755151488774214
1,Non-breeding,439.0,0.3141592653589793,0.15187989679326708
1,Non-breeding,439.0,0.471238898038469,0.14738946500442132
1,Non-breeding,439.0,0.6283185307179586,0.1687873356054222
1,Non-breeding,439.0,0.7853981633974483,0.1890983163814244
1,Non-breeding,439.0,0.942477796076938,0.282229760731957
1,Non-breeding,439.0,1.0995574287564276,0.28227442617865445
1,Non-breeding,439.0,1.2566370614359172,0.25389478447247366
1,Non-breeding,439.0,1.413716694115407,0.333455532020373
1,Non-breeding,439.0,1.5707963267948966,0.3666087685564677
1,Non-breeding,439.0,1.7278759594743864,0.41310668758390945
1,Non-breeding,439.0,1.884955592153876,0.553034653538145
1,Non-breeding,439.0,2.0420352248333655,0.5088506387938494
1,Non-breeding,439.0,2.199114857512855,0.812342399603956
1,Non-breeding,439.0,2.356194490192345,1.1113930499552953
1,Non-breeding,439.0,2.5132741228718345,1.0721199314298484
1,Non-breeding,439.0,2.6703537555513246,1.4856267415761346
1,Non-breeding,439.0,2.827433388230814,1.6669466354321685
1,Non-breeding,439.0,2.9845130209103035,2.0957851630393867
1,Non-breeding,439.0,3.141592653589793,3.275470908738505
1,Non-breeding,459.0,-3.141592653589793,3.002133536043349
1,Non-breeding,459.0,-2.9845130209103035,1.93183779898896
1,Non-breeding,459.0,-2.827433388230814,1.618627343514886
1,Non-breeding,459.0,-2.6703537555513246,1.2239160738047048
1,Non-breeding,459.0,-2.5132741228718345,0.8697178920212432
1,Non-breeding,459.0,-2.356194490192345,0.9441778406926001
1,Non-breeding,459.0,-2.199114857512855,0.7302218175582665
1,Non-breeding,459.0,-2.0420352248333655,0.40538887960935205
1,Non-breeding,459.0,-1.884955592153876,0.39202991692961
1,Non-breeding,459.0,-1.7278759594743864,0.3169755063941803
1,Non-breeding,459.0,-1.5707963267948966,0.3231877875010061
1,Non-breeding,459.0,-1.413716694115407,0.3052502510666524
1,Non-breeding,459.0,-1.2566370614359172,0.2679645389299936
1,Non-breeding,459.0,-1.0995574287564276,0.27954459895053063
1,Non-breeding,459.0,-0.942477796076938,0.29331753840224956
1,Non-breeding,459.0,-0.7853981633974483,0.19442753678060298
1,Non-breeding,459.0,-0.6283185307179586,0.15651958066964589
1,Non-breeding,459.0,-0.471238898038469,0.15766087724753775
1,Non-breeding,459.0,-0.3141592653589793,0.14756575590309715
1,Non-breeding,459.0,-0.15707963267948966,0.12289202452661098
1,Non-breeding,459.0,0.0,0.08012641872085023
1,Non-breeding,459.0,0.15707963267948966,0.12289202452661098
1,Non-breeding,459.0,0.3141592653589793,0.14756575590309715
1,Non-breeding,459.0,0.471238898038469,0.15766087724753775
1,Non-breeding,459.0,0.6283185307179586,0.15651958066964589
1,Non-breeding,459.0,0.7853981633974483,0.19442753678060298
1,Non-breeding,459.0,0.942477796076938,0.29331753840224956
1,Non-breeding,459.0,1.0995574287564276,0.27954459895053063
1,Non-breeding,459.0,1.2566370614359172,0.2679645389299936
1,Non-breeding,459.0,1.413716694115407,0.3052502510666524
1,Non-breeding,459.0,1.5707963267948966,0.3231877875010061
1,Non-breeding,459.0,1.7278759594743864,0.3169755063941803
1,Non-breeding,459.0,1.884955592153876,0.39202991692961
1,Non-breeding,459.0,2.0420352248333655,0.40538887960935205
1,Non-breeding,459.0,2.199114857512855,0.7302218175582665
1,Non-breeding,459.0,2.356194490192345,0.9441778406926001
1,Non-breeding,459.0,2.5132741228718345,0.8697178920212432
1,Non-breeding,459.0,2.6703537555513246,1.2239160738047048
1,Non-breeding,459.0,2.827433388230814,1.618627343514886
1,Non-breeding,459.0,2.9845130209103035,1.93183779898896
