Realisation number,Variable,index,Lag-2 AC,Lag-1 AC,Coefficient of variation,Smax/Mean,Skewness,Kurtosis,Standard deviation,Smax,Variance,Lag-3 AC,Smax/Var,Cross correlation
1,Non-breeding,0,0.07368110816386678,0.9413498379015619,0.7600943118184497,-0.4666666666666666,-0.17712938402593573,0.35484821691718244,-0.9793692897141172,-0.9999999999999999,-0.9793692897141172,0.8305334512231063,-0.3333333333333333,0.36752136752136755
1,Breeding,0,0.3303860890067786,0.887709991158267,0.5921013852048335,-0.3333333333333333,0.2799882110226937,0.49218980253463007,-0.9914529914529913,-0.7333333333333333,-0.9914529914529913,0.17359269083407014,-0.06666666666666665,0.36752136752136755
2,Non-breeding,0,-0.11346890657235484,0.8997936928971411,0.5216622458001768,-0.8666666666666666,0.8237547892720305,-0.5013262599469496,-0.9493073975832595,-0.9999999999999999,-0.9493073975832595,0.7309165929855584,-0.2,-0.20224823485693053
2,Breeding,0,0.5307987032124962,0.7335691128794577,0.35985853227232534,-0.3333333333333333,0.36781609195402293,0.7462422634836426,-0.9840848806366046,-0.9999999999999999,-0.9840848806366046,-0.2929560860595343,0.6,-0.20224823485693053
3,Non-breeding,0,0.7341585617447686,0.7783672266430886,0.9201296787503683,0.06666666666666665,0.5075154730327144,0.4532861774241084,-0.9543177129384025,-0.9999999999999999,-0.9543177129384025,0.12879457707043912,0.2,-0.5797101449275363
3,Breeding,0,0.7391688770999114,0.8007662835249042,0.5204833480695549,-0.3333333333333333,0.7029177718832891,0.5431771293840258,-0.9796640141467725,-0.8666666666666666,-0.9796640141467725,0.2166224580017683,0.4666666666666666,-0.5797101449275363
4,Non-breeding,0,0.23548482169171822,0.8944886531093428,0.6987916298261125,-0.06666666666666665,0.7633362805776598,0.7589154140878278,-0.9746536987916298,-0.7333333333333333,-0.9746536987916298,0.46183318597111694,0.6,-0.4521553325901152
4,Breeding,0,-0.28116710875331563,0.7742410845859121,0.6760978485116416,-0.7333333333333333,-0.47244326554671373,0.4462127910403772,-0.9773062186855288,-0.9999999999999999,-0.9773062186855288,0.8594164456233421,-0.3333333333333333,-0.4521553325901152
5,Non-breeding,0,-0.0032419687592101384,0.8735632183908045,0.5316828765104626,-0.2,-0.2623047450633657,0.014736221632773355,-0.9277925139994104,-0.7333333333333333,-0.9277925139994104,0.7550839964633067,0.2,0.2276105536975102
5,Breeding,0,0.318007662835249,0.8116710875331564,0.922487474211612,-0.3333333333333333,0.5953433539640436,0.8346595932802828,-0.9793692897141172,-0.9999999999999999,-0.9793692897141172,0.7987032124963158,0.4666666666666666,0.2276105536975102
6,Non-breeding,0,0.3778367226643088,0.9095195991747714,0.4960212201591511,-0.8666666666666666,0.18066607721780134,-0.38314176245210724,-0.9552018862363688,-0.9999999999999999,-0.9552018862363688,0.5658709106984968,-0.6,-0.18599033816425123
6,Breeding,0,0.10374300029472443,0.8992042440318302,0.07014441497200118,-0.7333333333333333,-0.4862953138815207,-0.134394341290893,-0.9879162982611257,-0.9999999999999999,-0.9879162982611257,-0.2743884468022399,0.2,-0.18599033816425123
7,Non-breeding,0,0.622163277335691,0.9198349543177128,0.6312997347480106,0.2,0.39021514883583847,-0.2938402593575007,-0.9778956675508398,-0.8666666666666666,-0.9778956675508398,-0.22281167108753314,0.7333333333333333,-0.591880341880342
7,Breeding,0,0.12407898614795164,0.8128499852637783,0.3457117595048629,-0.4666666666666666,0.7427055702917771,0.4494547597995873,-0.986147951665193,-0.9999999999999999,-0.986147951665193,0.541998231653404,0.06666666666666665,-0.591880341880342
8,Non-breeding,0,0.6156793398172709,0.9186560565870909,0.8614795166519302,-0.6,0.42410845859121715,0.40082522841143525,-0.971117005599764,-0.9999999999999999,-0.971117005599764,-0.4804008252284114,0.2,-0.3438312894834634
8,Breeding,0,0.005599764220453875,0.953433539640436,0.7359269083407014,-0.6,0.46507515473032707,0.8063660477453579,-0.9832007073386383,-0.9999999999999999,-0.9832007073386383,0.0689655172413793,-0.2,-0.3438312894834634
9,Non-breeding,0,0.5702917771883289,0.9549071618037134,0.7359269083407014,-0.2,-0.03241968759210138,0.39817270851753606,-0.9575596816976127,-0.9999999999999999,-0.9575596816976127,0.32714412024756845,-0.2,0.15170940170940173
9,Breeding,0,-0.22693781314470968,0.9378131447096963,0.7960506926024166,-0.4666666666666666,-0.6209843796050691,0.3032714412024756,-0.9858532272325374,-0.9999999999999999,-0.9858532272325374,0.8302387267904507,-0.2,0.15170940170940173
10,Non-breeding,0,0.6377836722664307,0.9251399941055112,0.8980253463012083,0.6,0.20748600058944885,0.08753315649867373,-0.9705275567344531,-0.8666666666666666,-0.9705275567344531,-0.6254052460949012,0.6,-0.3380713489409142
10,Breeding,0,0.19157088122605362,0.9239610963748893,0.6846448570586501,-0.06666666666666665,0.3636899498968464,0.13026819923371644,-0.9826112584733274,-0.7333333333333333,-0.9826112584733274,0.5322723253757736,0.4666666666666666,-0.3380713489409142
11,Non-breeding,0,0.5033893309755378,0.9510757441791923,0.8258178603006189,0.06666666666666665,0.15885646920129676,-0.26024167403477744,-0.9478337754199821,-0.8666666666666666,-0.9478337754199821,0.7491895078101974,0.4666666666666666,-0.3794128576737273
11,Breeding,0,-0.17241379310344826,0.7821986442676097,0.42823460064839375,-0.6,0.19304450338933093,0.06601827291482462,-0.9843796050692601,-0.8666666666666666,-0.9843796050692601,0.10285882699675801,-0.2,-0.3794128576737273
12,Non-breeding,0,0.6973180076628351,0.954022988505747,0.8305334512231063,0.2,-0.10226937813144708,-0.547008547008547,-0.948423224285293,-0.8666666666666666,-0.948423224285293,0.7023283230179781,0.7333333333333333,0.21311780007432182
12,Breeding,0,0.48216917182434416,0.8449749484232241,0.6987916298261125,0.2,0.019157088122605363,-0.06572354848216916,-0.971117005599764,-0.9999999999999999,-0.971117005599764,0.3530798703212496,0.8666666666666666,0.21311780007432182
13,Non-breeding,0,0.6604774535809017,0.9566755083996462,0.8367226643088711,0.3333333333333333,0.0232832301797819,-0.28617742410845853,-0.9198349543177128,-0.9999999999999999,-0.9198349543177128,-0.03241968759210138,0.4666666666666666,-0.1930509104422148
13,Breeding,0,0.5101679929266135,0.904804008252284,0.8482169171824343,-0.9999999999999999,-0.24491600353669313,0.7671676982021809,-0.9858532272325374,-0.9999999999999999,-0.9858532272325374,0.7076333628057765,-0.6,-0.1930509104422148
14,Non-breeding,0,0.680813439434129,0.950781019746537,0.8894783377541997,0.8666666666666666,0.40642499263188914,-0.3589743589743589,-0.9469496021220158,0.2,-0.9469496021220158,-0.26112584733274385,0.9999999999999999,-0.025919732441471572
14,Breeding,0,0.3545534924845269,0.8791629826112585,0.7960506926024166,0.4666666666666666,-0.5310934276451518,0.35779546124373707,-0.9781903919834953,-0.3333333333333333,-0.9781903919834953,0.05540819333922782,0.6,-0.025919732441471572
15,Non-breeding,0,0.1270262304745063,0.971706454465075,0.6445623342175065,0.06666666666666665,-0.11464780430297669,0.06690244621279103,-0.9605069260241673,-0.8666666666666666,-0.9605069260241673,0.7795461243737104,0.3333333333333333,-0.35590858416945376
15,Breeding,0,-0.3056292366637194,0.9257294429708223,0.3878573533745947,-0.6,-0.14942528735632182,-0.1862658414382552,-0.9849690539345711,-0.9999999999999999,-0.9849690539345711,0.8520483348069554,-0.3333333333333333,-0.35590858416945376
16,Non-breeding,0,0.5685234305923961,0.9372236958443855,0.7008547008547007,0.6,0.06248157972295903,-0.13557323902151486,-0.8670792808723842,-0.06666666666666665,-0.8670792808723842,0.8544061302681991,0.6,0.18868450390189523
16,Breeding,0,0.46861184792219274,0.9413498379015619,0.9204244031830238,0.9999999999999999,-0.28323017978190385,0.9431181844974947,-0.9687592101385203,0.06666666666666665,-0.9687592101385203,0.5732390215148835,0.9999999999999999,0.18868450390189523
17,Non-breeding,0,0.5531977600943118,0.9101090480400824,0.9160035366931917,0.2,-0.685234305923961,0.00618921308576481,-0.9437076333628056,-0.4666666666666666,-0.9437076333628056,0.7376952549366341,0.2,-0.09150873281308064
17,Breeding,0,-0.3492484526967285,0.8918361332154434,0.8458591217211906,0.2,0.7450633657530208,0.12938402593575005,-0.9843796050692601,-0.9999999999999999,-0.9843796050692601,0.0654288240495137,0.8666666666666666,-0.09150873281308064
18,Non-breeding,0,-0.268199233716475,0.945181255526083,0.7368110816386677,-0.3333333333333333,0.16416150898909518,0.10698496905393456,-0.9431181844974947,-0.9999999999999999,-0.9431181844974947,0.7603890362511051,-0.6,0.322742474916388
