Realisation number,Variable,Time,Frequency,Empirical
1,Non-breeding,399.0,-3.141592653589793,5.883593846175556
1,Non-breeding,399.0,-2.9845130209103035,5.479177991919681
1,Non-breeding,399.0,-2.827433388230814,5.455086873574078
1,Non-breeding,399.0,-2.6703537555513246,4.227969811518739
1,Non-breeding,399.0,-2.5132741228718345,3.428951300784476
1,Non-breeding,399.0,-2.356194490192345,3.0269995598971655
1,Non-breeding,399.0,-2.199114857512855,3.1296049769203815
1,Non-breeding,399.0,-2.0420352248333655,1.9326316904971648
1,Non-breeding,399.0,-1.884955592153876,2.342608652206575
1,Non-breeding,399.0,-1.7278759594743864,1.740152328723355
1,Non-breeding,399.0,-1.5707963267948966,1.752547718441555
1,Non-breeding,399.0,-1.413716694115407,1.6117656042514543
1,Non-breeding,399.0,-1.2566370614359172,1.3258756163380208
1,Non-breeding,399.0,-1.0995574287564276,1.302527718372098
1,Non-breeding,399.0,-0.942477796076938,1.260822174593631
1,Non-breeding,399.0,-0.7853981633974483,0.953627346817993
1,Non-breeding,399.0,-0.6283185307179586,0.6893664068650524
1,Non-breeding,399.0,-0.471238898038469,0.5676721876940564
1,Non-breeding,399.0,-0.3141592653589793,0.7812021652365975
1,Non-breeding,399.0,-0.15707963267948966,0.8607446407800922
1,Non-breeding,399.0,0.0,0.43814027763579216
1,Non-breeding,399.0,0.15707963267948966,0.8607446407800922
1,Non-breeding,399.0,0.3141592653589793,0.7812021652365975
1,Non-breeding,399.0,0.471238898038469,0.5676721876940564
1,Non-breeding,399.0,0.6283185307179586,0.6893664068650524
1,Non-breeding,399.0,0.7853981633974483,0.953627346817993
1,Non-breeding,399.0,0.942477796076938,1.260822174593631
1,Non-breeding,399.0,1.0995574287564276,1.302527718372098
1,Non-breeding,399.0,1.2566370614359172,1.3258756163380208
1,Non-breeding,399.0,1.413716694115407,1.6117656042514543
1,Non-breeding,399.0,1.5707963267948966,1.752547718441555
1,Non-breeding,399.0,1.7278759594743864,1.740152328723355
1,Non-breeding,399.0,1.884955592153876,2.342608652206575
1,Non-breeding,399.0,2.0420352248333655,1.9326316904971648
1,Non-breeding,399.0,2.199114857512855,3.1296049769203815
1,Non-breeding,399.0,2.356194490192345,3.0269995598971655
1,Non-breeding,399.0,2.5132741228718345,3.428951300784476
1,Non-breeding,399.0,2.6703537555513246,4.227969811518739
1,Non-breeding,399.0,2.827433388230814,5.455086873574078
1,Non-breeding,399.0,2.9845130209103035,5.479177991919681
1,Non-breeding,399.0,3.141592653589793,5.883593846175556
1,Non-breeding,419.0,-3.141592653589793,5.426189268796054
1,Non-breeding,419.0,-2.9845130209103035,4.486476116589221
1,Non-breeding,419.0,-2.827433388230814,4.780809248924753
1,Non-breeding,419.0,-2.6703537555513246,4.205963912155579
1,Non-breeding,419.0,-2.5132741228718345,2.8048622882102663
1,Non-breeding,419.0,-2.356194490192345,3.0254127973396465
