Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var
Non-breeding,0.1,0.0,9.464048474411333,8.797322023502856,0.6667264509084774,0.5294642693765417,0.28033241254643504,0.8762868899426209,0.7781200809800618,0.6934187731956928,0.05983520577932553,-0.0735475248373508,0.6313650255851541,0.0405185283333858,0.1445374366999899
Breeding,0.1,0.0,9.345435586542525,8.749183338953406,0.5962522475891188,0.5488464796902112,0.3012324582683374,0.8752576800848326,0.776226880712133,0.6923549797019533,0.06243413041660675,-0.05115425807245206,0.5516143701285203,0.0426731676795626,0.14166191759305502
Non-breeding,0.2,-0.1,10.430027594010879,9.638540220976129,0.7914873730347498,0.5821345394182056,0.3388806219836463,0.878011528013165,0.7822262124128295,0.6987593495649561,0.06015723766358876,-0.06031315386075932,0.6465545772194484,0.048463926782767834,0.1430117971900636
Breeding,0.2,-0.1,9.309862931625373,8.669398423305037,0.6404645083203366,0.5505045431999309,0.30305525208376455,0.8773231403478506,0.7806146660739154,0.6979708049253166,0.06332472410208476,-0.035995769056943246,0.5320338492559046,0.04257038795023829,0.14047071501823644
Non-breeding,0.2,0.0,19.181363450382797,17.89118159507496,1.2901818553078357,0.7378849486791226,0.5444741974871913,0.7573769260444803,0.583560412742878,0.44872741143568967,0.04108471970489174,-0.18701820004917263,0.5453186458665772,0.07551320175669415,0.13869013831178031
Breeding,0.2,0.0,18.85032324349382,17.68063320630391,1.169690037189909,0.7918529761550096,0.6270311358455463,0.7559554928472662,0.5794513438083648,0.44709093371490605,0.04465041289991166,-0.15847670649720733,0.41912672922741634,0.08508517316689311,0.13569529215189044
Non-breeding,0.3,-0.2,11.48487028916227,10.546181023973705,0.9386892651885645,0.6512352260632523,0.4241073196656554,0.8796078242077975,0.7860959969048903,0.7037783398851593,0.06161778773832748,-0.048084840751462486,0.602636250687872,0.060181360532484934,0.1419012540974979
Breeding,0.3,-0.2,9.265796323922237,8.578790178006487,0.687006145915749,0.5616506949321153,0.315451503117728,0.8793738835115318,0.7849534872407238,0.7034616415759123,0.06541858883664411,-0.023065645278254648,0.4667085202172973,0.04405100911816039,0.13964431515712367
Non-breeding,0.3,-0.1,21.018723847729213,19.592660260883516,1.4260635868456966,0.8017626481010507,0.6428233438900092,0.7582901714366428,0.5873043592466461,0.4528827506458781,0.040800620385748915,-0.18337629883406953,0.5538938335715129,0.08865392997278586,0.13791336424763545
Breeding,0.3,-0.1,18.662091315937285,17.501040130952553,1.161051184984732,0.7931384562715201,0.6290686108167701,0.7580237194170115,0.5845000134037422,0.45266289780871344,0.0452279535007682,-0.14746399897341994,0.379316611019635,0.08515496142046863,0.13536673099919122
Non-breeding,0.3,0.0,28.846294792251992,27.095093870785437,1.7512009214665554,0.9093233382199828,0.8268689334315332,0.6510342197184935,0.4296554013646576,0.2785631241503636,0.03347174976150357,-0.13250130610903374,0.33719676493789064,0.09678116575358066,0.11704535246225256
Breeding,0.3,0.0,28.18599162286829,26.60358188049009,1.5824097423782,1.0115819554309506,1.0232980525535056,0.6494150390515531,0.423422844257159,0.27522693664197684,0.03794254541694728,-0.11483358693359967,0.20767732989411078,0.11321167204933243,0.11063411267795106
Non-breeding,0.4,-0.3,12.635832700228619,11.523428631747477,1.1124040684811423,0.7405972639776132,0.5484843074111264,0.8811629864897602,0.7898080639222194,0.7086068632074615,0.06424706586435386,-0.039176591753045595,0.5191506046267714,0.07736168747119629,0.1410463096680876
Breeding,0.4,-0.3,9.213401774260875,8.47701485552,0.7363869187408749,0.5816360410893527,0.33830048429409526,0.881311339473809,0.7890195914448144,0.7085611421789618,0.06869594350634507,-0.013448568138694553,0.37339460475812747,0.047075853266608784,0.13915396356832957
Non-breeding,0.4,-0.2,23.020568715286863,21.43240034140568,1.5881683738811851,0.888327325437503,0.7891254371189474,0.7595100524983608,0.5916389143752808,0.4578048182578961,0.041362344153938545,-0.1782285499465124,0.5227889714153036,0.1084761628925155,0.1374637767204107
Breeding,0.4,-0.2,18.464104073291868,17.30290303890041,1.161201034391457,0.8089661226422171,0.6544261875827826,0.7603954110658576,0.5900178739698895,0.4587051305123401,0.04670785812469503,-0.13690826902027822,0.31135289192176074,0.08866779798984538,0.13548937935590974
Non-breeding,0.4,-0.1,31.567151605983018,29.675979128879113,1.891172477103904,0.9781820302850159,0.9568400843725158,0.6510543632420321,0.4325875183387096,0.28071226799270077,0.032893565352637,-0.14290673590261257,0.3427511736543215,0.1082089330048775,0.11308988280506624
Breeding,0.4,-0.1,27.851715092355473,26.32189222694914,1.5298228654063344,1.0135784880685836,1.0273413514753957,0.6512256605779905,0.4282350914638443,0.27916282250878044,0.03845191930217728,-0.11488772741902958,0.1672843803318021,0.11061546074024046,0.10767157438117553
Non-breeding,0.4,0.0,38.41295478841696,36.4089681674936,2.0039866209233637,1.0573165286904314,1.1179182418419837,0.5518179699850394,0.3055181203107537,0.16216590061457664,0.028986937412195973,-0.07977210589835444,0.24450580806318234,0.11819841980558313,0.10573082662183655
Breeding,0.4,0.0,37.30942170202752,35.515913008576945,1.7935086934505762,1.219998604607206,1.4883965952435299,0.550501239865368,0.2978515141567763,0.15661896793969252,0.034295038839806745,-0.0723919366715121,0.12818163986970507,0.14572344587779443,0.09790632842313866
Non-breeding,0.5,-0.4,13.890521371693032,12.573309385415408,1.3172119862776235,0.8536851872856576,0.7287783989909482,0.882534509060187,0.7930589493235883,0.7128417963720632,0.06800127702732084,-0.03298014044484787,0.4108337380229623,0.10241903382165844,0.14053522163042395
Breeding,0.5,-0.4,9.152752608487965,8.363904176759739,0.7888484317282263,0.609590926959619,0.3716010982314876,0.8830319903138035,0.792598931375009,0.7130137936112203,0.07311940988083163,-0.00612317874711428,0.26790200317126006,0.051644324292954596,0.13897785700510212
Non-breeding,0.5,-0.3,25.19907800789038,23.417986763466846,1.7810912444235356,1.0026357949729081,1.0052785373609556,0.7609195552809999,0.5961762271117895,0.46303675810628014,0.04276678607051002,-0.17325110369751234,0.45638301424368727,0.138131953348988,0.13740664722795162
Breeding,0.5,-0.3,18.255526404734205,17.086840787217884,1.1686856175163207,0.8382336004333548,0.7026355688954651,0.7628625161957796,0.595523261579521,0.46469030493743124,0.04906723767272358,-0.1274887743272021,0.22599212386061807,0.09557698671453319,0.13602639966658547
Non-breeding,0.5,-0.2,34.529698625640336,32.46939609543608,2.060302530204254,1.0733665211378476,1.1521156886995654,0.6513291190049543,0.43614632703302586,0.2835531902240966,0.03300807522449915,-0.152408468026803,0.3267561510104681,0.12601453592895762,0.10937663393091607
Breeding,0.5,-0.2,27.504551011275442,26.013503178696297,1.4910478325791452,1.0344992324194344,1.070188661876399,0.6535417812397588,0.43377934723426514,0.28380785186117685,0.039741127385748906,-0.11541690406637738,0.11460750685996075,0.11485397290934692,0.107321238769218
Non-breeding,0.5,-0.1,42.02647216519154,39.88959841621334,2.1368737489782035,1.1261082537473648,1.2681197991579392,0.5514205127329793,0.308246759628095,0.16316570904586628,0.028190773117238565,-0.09757009376090575,0.25455712997370544,0.1296348582144553,0.10222603440190418
Breeding,0.5,-0.1,36.83718763413786,35.13001348831589,1.7071741458219734,1.224140506896634,1.4985199806251481,0.552535503497457,0.3029130301265847,0.1593459770608661,0.03480958154982285,-0.07874367080324389,0.0888974712474945,0.14307824650488063,0.0954797055459959
Non-breeding,0.5,0.0,47.95790429973648,45.82788456966537,2.130019730071105,1.189194069806492,1.4141825356629278,0.4562665552860178,0.20367602216598096,0.08339840175285394,0.02591428897027792,-0.038143567409028585,0.20466138971795447,0.13010522694951468,0.09200030665668284
Breeding,0.5,0.0,46.295985336514825,44.41355777380848,1.8824275627063471,1.4228256180984535,2.0244327395172466,0.4560972433261874,0.19612534505825646,0.07656548730931043,0.03199300360195014,-0.039574391298635235,0.12054911158297088,0.16870025483775686,0.08333211153164106
Non-breeding,0.6,-0.5,15.256870384320505,13.697629290536844,1.5592410937836618,0.9947200755740155,0.9894680287499751,0.8837444434626045,0.7958670262723048,0.7165181272589715,0.07287281542467532,-0.028878887980008382,0.2974686679371089,0.13878888310215873,0.1402661622907563
Breeding,0.6,-0.5,9.083848935549423,8.238799787418307,0.8450491481311158,0.6448291353204136,0.4158046137580723,0.8845555876479467,0.7957172354529684,0.7168822330381732,0.07868209227483931,-0.0004960060597229745,0.16689889141118816,0.05779023088631278,0.1389841020858342
Non-breeding,0.6,-0.4,27.56682793382862,25.555034962200658,2.011792971627962,1.1503735308775838,1.3233592605437592,0.762474910622351,0.6006931242736351,0.46832927030559535,0.0450086516920711,-0.17002975154698693,0.37118630588925067,0.1822088724480917,0.1376866266634378
Breeding,0.6,-0.4,18.035526666035977,16.84880271705643,1.186723948979548,0.8800428303310104,0.7744753832170155,0.7654393158010463,0.6009639246288901,0.4706357270463592,0.05230064921307017,-0.1213507507914754,0.1461436813896399,0.1059378446542608,0.136786587346671
Non-breeding,0.6,-0.3,37.75112488203752,35.48884995126845,2.262274930769074,1.2014751753779238,1.4435425970494127,0.6518807606840014,0.4400973281350687,0.2869054879260994,0.03382638611678635,-0.16156986570656773,0.2873079926338109,0.1570843998399647,0.10881867993438067
Breeding,0.6,-0.3,27.142705529139743,25.677551988583712,1.465153540556031,1.073053369057572,1.1514435328458061,0.6562256684778089,0.4396493508247379,0.28883441445590874,0.041796167519090155,-0.11682683402700195,0.05805872571119012,0.12472102727728536,0.10831710259298247
Non-breeding,0.6,-0.2,45.959535374479366,43.65995795792581,2.2995774165535536,1.2234260137381308,1.496771211091173,0.5511437440244045,0.31154667671773006,0.16455402985048226,0.027993798747246126,-0.11617830936957604,0.25316869191504365,0.14786904031936948,0.09879201258258455
Breeding,0.6,-0.2,36.346418228704415,34.70843633068916,1.637981898015255,1.2513937552467667,1.5659863306706046,0.5552187907554968,0.3088055464231884,0.16279240166245085,0.036038924836054594,-0.08595926838172839,0.04376865234667114,0.1467812418389542,0.09373085764809827
Non-breeding,0.6,-0.1,52.47776332815981,50.22931593327377,2.2484473948860426,1.2532474570200052,1.5706291885271098,0.45593771132924565,0.20677663335373458,0.08430164281416903,0.024925635315276782,-0.058729060440879284,0.22143666882910543,0.1399659971844078,0.08911460337475571
Breeding,0.6,-0.1,45.69024234668101,43.920165700860665,1.770076645820346,1.430215442567419,2.045516212158318,0.45882467409568883,0.20191678609664765,0.07865105250348374,0.03253580728927954,-0.048480698319343825,0.07942965421545008,0.16663305488494917,0.08146259310706072
Non-breeding,0.6,0.0,57.55972631031787,55.351120001277856,2.2086063090400145,1.3114761270748538,1.7199696318872582,0.3633524734920887,0.12103031651328833,0.03211570487121695,0.023667925784323227,-0.0036936804605362424,0.17963181395417877,0.13597587150108856,0.07905713506806938
Breeding,0.6,0.0,55.219659639147764,53.29467817862279,1.9249814605249753,1.6244824215200961,2.6389431378277957,0.36489839185100703,0.11501749751334372,0.02544557418922516,0.03044435037613649,-0.015395421148229041,0.14111474752667036,0.1862128007713236,0.07056340021202644
Non-breeding,0.7,-0.6,16.74310769586932,14.89801175239312,1.845095943476199,1.1683072924763662,1.3649419296534573,0.8847955643887484,0.7982419291105007,0.7196518350449868,0.07885386771160802,-0.025171089441284596,0.1901865356374274,0.19133260741686664,0.14017637180025946
Breeding,0.7,-0.6,9.00663408293299,8.101568209027542,0.905065873905448,0.6865500533479748,0.4713509757521071,0.8858694538121951,0.7983564759601782,0.7201584233919002,0.08537346180373617,0.005466370345775075,0.07601452149764501,0.06557354192657992,0.1391182904033413
Non-breeding,0.7,-0.5,30.13671866643273,27.851614573391405,2.2851040930413262,1.3375843820865543,1.789131979201869,0.764047773465522,0.6048972462126629,0.4733225553262113,0.04807076167500803,-0.16783928430058914,0.2791237851682828,0.24735206779589758,0.13825255524538846
Breeding,0.7,-0.5,17.803297723001815,16.591148579313284,1.2121491436885314,0.9329577638148986,0.8704101890624961,0.7678942221401941,0.6059159457227993,0.4760554043164394,0.056376800531955755,-0.11574189636212993,0.07221700950526819,0.119882646285678,0.13773120741474953
Non-breeding,0.7,-0.4,41.24903321469457,38.74142885574825,2.507604358946324,1.3701215278835177,1.877233001169865,0.6528733545735461,0.4444502261572661,0.29088971403777325,0.03535884784703086,-0.17160927537024223,0.23710941770906852,0.20532672366468085,0.10937732478425648
Breeding,0.7,-0.4,26.764479763359727,25.3129173498894,1.4515624134703273,1.1277694317949025,1.2718638912909974,0.6591441109263956,0.4455153222135817,0.2939797655344543,0.04460068807936804,-0.11875566567089041,0.005696882168378715,0.13935013589014428,0.10956371734769339
Non-breeding,0.7,-0.3,50.23428112553147,47.7362220616643,2.498059063867167,1.3574914993269416,1.842783170744908,0.5512411392943467,0.31547560865518715,0.166570094310058,0.028421338188293194,-0.1360662247752204,0.2387277063705441,0.17641502843484508,0.09573292790791706
Breeding,0.7,-0.3,35.83449022622258,34.25098660493927,1.583503621283306,1.30013270423332,1.6903450486170453,0.5583901451224011,0.31505588701779164,0.16666650879584147,0.03796939911071434,-0.09366180353458116,-0.002013466532762996,0.15670316474123908,0.09270483849995341
Non-breeding,0.7,-0.2,57.39674759413393,55.00027213929442,2.3964754548395106,1.346573955421684,1.8132614174199992,0.45561327760258175,0.21048401870397726,0.08532397711214351,0.02446650412125596,-0.08234475172362433,0.23446052114052449,0.15616296534562984,0.08612269794381136
