Variable,Time,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean
x,0,119.95569604758694,120.01439563399727,-0.05869958641033904,,,,,,,,,,,
x,1,118.43856523471162,119.66250053062824,-1.2239352959166454,,,,,,,,,,,
x,2,118.34172353025821,119.31061066596266,-0.9688871357044188,,,,,,,,,,,
x,3,118.18648308053156,118.95872596071364,-0.7722428801820713,,,,,,,,,,,
x,4,117.6220241237902,118.60684638553671,-0.9848222617465197,,,,,,,,,,,
x,5,117.56488532867405,118.2549720380038,-0.6900867093298103,,,,,,,,,,,
x,6,117.55848792412607,117.90310307024059,-0.34461514611450994,,,,,,,,,,,
x,7,114.81258618219206,117.55123963026536,-2.7386534480732703,,,,,,,,,,,
x,8,119.56901131549225,117.19938195678449,2.3696293587077446,,,,,,,,,,,
x,9,117.07786356030036,116.84753037214854,0.2303331881518072,,,,,,,,,,,
x,10,117.85969166517908,116.4956850604875,1.364006604691588,,,,,,,,,,,
x,11,114.77811070825118,116.14384615652217,-1.3657354482710264,,,,,,,,,,,
x,12,115.75159141989676,115.79201369288583,-0.0404222729890634,,,,,,,,,,,
x,13,116.58714267347307,115.44018760754298,1.1469550659301078,,,,,,,,,,,
x,14,113.52343915687254,115.08836785169983,-1.564928694827247,,,,,,,,,,,
x,15,113.60224667194188,114.73655439103885,-1.134307719096974,,,,,,,,,,,
x,16,115.77694431530496,114.38474727010247,1.392197045202368,,,,,,,,,,,
x,17,113.75725716804935,114.03294658061235,-0.2756894125630036,,,,,,,,,,,
x,18,112.63285420692962,113.68115235322962,-1.048298146300018,,,,,,,,,,,
x,19,113.17771574504827,113.32936458977336,-0.1516488447250498,,,,,,,,,,,
x,20,113.4639091549616,112.97758331328424,0.4863258416773901,,,,,,,,,,,
x,21,112.69585762690576,112.62580857927493,0.07004904763087424,,,,,,,,,,,
x,22,112.21917498124002,112.27404035527296,-0.05486537403294463,,,,,,,,,,,
x,23,112.54779573484119,111.92227860045301,0.6255171343882364,,,,,,,,,,,
x,24,110.6683127826973,111.5705233418747,-0.9022105591773909,,,,,,,,,,,
x,25,110.0476573593358,111.21877447196697,-1.1711171126312037,,,,,,,,,,,
x,26,110.136553155023,110.86703178245801,-0.7304786274350253,,,,,,,,,,,
x,27,111.35375647352649,110.51529511339211,0.838461360134265,,,,,,,,,,,
x,28,110.48906458962037,110.16356433120315,0.32550025841721575,,,,,,,,,,,
x,29,109.83276802165413,109.81183924997126,0.02092877168290954,,,,,,,,,,,
x,30,109.96546801690491,109.46011961485705,0.5053484020478203,,,,,,,,,,,
x,31,109.46754543930984,109.1084050893506,0.35914034995934896,,,,,,,,,,,
x,32,110.20606999377269,108.7566953931593,1.4493746006134325,,,,,,,,,,,
x,33,108.0305288559559,108.40499027806435,-0.37446142210852446,,,,,,,,,,,
x,34,108.3079796607821,108.05328938626333,0.2546902745187286,,,,,,,,,,,
x,35,107.46399744354825,107.70159227720558,-0.23759483365736045,,,,,,,,,,,
x,36,107.37058143902128,107.34989849822324,0.020682940798076855,,,,,,,,,,,
x,37,108.98063323908285,106.99820762735271,1.9824256117301973,,,,,,,,,,,
x,38,107.157759167462,106.64651919860471,0.5112399688572841,,,,,,,,,,,
x,39,105.04065217435799,106.29483262560508,-1.2541804512471155,,,,,,,,,,,
x,40,106.3146881314485,105.94314734763469,0.37154078381388755,,,,,,,,,,,
x,41,104.23647313861655,105.59146285738228,-1.3549897187657234,,,,,,,,,,,
x,42,105.42666233593937,105.23977874221679,0.18688359372258745,,,,,,,,,,,
x,43,103.13026114709437,104.88809476194997,-1.7578336148555984,,,,,,,,,,,
x,44,104.6293210015786,104.53641070824823,0.09291029333041066,,,,,,,,,,,
x,45,104.9545587080106,104.1847264479199,0.7698322600906586,,,,,,,,,,,
x,46,103.87227728791093,103.83304184931735,0.03923543859357693,,,,,,,,,,,
x,47,103.33232880760268,103.48135677457077,-0.14902796696806334,,,,,,,,,,,
x,48,102.74313724963484,103.12967113262462,-0.38653388298986796,,,,,,,,,,,
x,49,103.36416111608543,102.77798481485127,0.5861763012341293,,,,,,,,,,,
x,50,103.52539452750143,102.42629764257207,1.0990968849294567,,,,,,,,,,,
x,51,102.50305638317164,102.07460933918256,0.42844704398909256,,,,,,,,,,,
x,52,101.13724656847357,101.72291954542949,-0.5856729769559036,,,,,,,,,,,
x,53,100.38662279533929,101.37122789074895,-0.9846050954096428,,,,,,,,,,,
x,54,99.40221217215756,101.01953406772897,-1.617321895571352,,,,,,,,,,,
x,55,99.91293530588013,100.66783788759429,-0.754902581714219,,,,,,,,,,,
x,56,100.14592725727023,100.31613923402529,-0.1702119767550174,,,,,,,,,,,
x,57,99.55141654089454,99.96443800475807,-0.41302146386347016,,,,,,,,,,,
x,58,102.45502015932203,99.61273412950597,2.8422860298160293,,,,,,,,,,,
x,59,99.55921655395258,99.26102755972157,0.29818899423105677,,,,,,,,,,,
x,60,98.22206016103891,98.90931797970966,-0.6872578186707515,,,,,,,,,,,
x,61,98.56323420942519,98.55760490269185,0.005629306733359129,,,,,,,,,,,
x,62,97.77751035489429,98.20588785201437,-0.42837749712008033,,,,,,,,,,,
x,63,97.70296723005427,97.85416643720716,-0.15119920715294044,,,,,,,,,,,
x,64,99.33641797708026,97.50244042300916,1.8339775540710699,,,,,,,,,,,
x,65,96.32826393863331,97.15070963792336,-0.8224456992900022,,,,,,,,,,,
x,66,98.97399106456882,96.79897372714214,2.175017337426711,,,,,,,,,,,
x,67,94.62990347170432,96.44723220703253,-1.8173287353281415,,,,,,,,,,,
x,68,95.21806855567847,96.09548437206739,-0.8774158163889709,,,,,,,,,,,
x,69,94.86385164671145,95.74372960379861,-0.879877957087125,,,,,,,,,,,
x,70,94.33436970431349,95.39196739146581,-1.0575976871523245,,,,,,,,,,,
x,71,94.85055861199353,95.04019744957432,-0.18963883758083966,,,,,,,,,,,
x,72,95.22740474071743,94.68841976481616,0.5389849759012536,,,,,,,,,,,
x,73,92.53299146455123,94.33663459230101,-1.8036431277497678,,,,,,,,,,,
x,74,95.15697218666566,93.98484239601753,1.172129790648128,,,,,,,,,,,
