Realisation number,Variable,index,Standard deviation,Variance,Kurtosis,Lag-3 AC,Lag-1 AC,Smax,Coefficient of variation,Smax/Var,Skewness,Lag-2 AC
1,x,0,-0.9777971519907003,-0.9777971519907003,0.8027317640220865,0.4219122348154606,0.9504795117698341,-0.6,0.9221156640511478,0.6444444444444444,0.6487067712874163,0.9264167393199649
2,x,0,-0.9804707933740189,-0.9804707933740189,0.03655913978494623,0.42237721592560296,0.8689915722173784,-0.8222222222222221,0.8972391746585293,0.37777777777777777,-0.09072943911653587,0.7640220866027315
3,x,0,-0.9715199070037778,-0.9715199070037778,-0.3477477477477477,0.7648358035454809,0.9424585876198778,-0.7777777777777777,0.8938680616099969,0.9555555555555554,0.2816041848299912,0.8238884045335657
4,x,0,-0.9875617553036905,-0.9875617553036905,0.4757337983144434,0.7103167683812843,0.8815460621912233,-0.7333333333333333,0.46120313862249335,0.8666666666666666,-0.3062481836675384,0.7447253705318221
5,x,0,-0.971752397558849,-0.971752397558849,-0.16280151118860794,0.8286544609125253,0.9331589654170298,-0.8222222222222221,0.7508863702412087,0.911111111111111,0.5381575123510607,0.8642255158384189
6,x,0,-0.9823307178145887,-0.9823307178145887,0.762162162162162,0.5861668119732635,0.9340889276373145,-0.5555555555555555,0.9192095321127577,0.37777777777777777,0.8536471955826793,0.7786689915722171
7,x,0,-0.9626852659110722,-0.9626852659110722,0.5844231328102295,0.6789305434466723,0.941528625399593,-0.4222222222222222,0.9064225515838418,0.6444444444444444,0.8327230456262712,0.9057250799186282
8,x,0,-0.982214472537053,-0.982214472537053,-0.06038942167974425,0.6812554489973843,0.9231618715489681,-0.7333333333333333,0.5970938680616098,0.5555555555555555,-0.40982272595175817,0.5322290031967449
9,x,0,-0.9569892473118278,-0.9569892473118278,0.04585876198779423,-0.31113048532403365,0.9330427201394942,-0.37777777777777777,0.9468759081662306,0.7333333333333333,0.6051147922115663,0.8555071200232488
10,x,0,-0.9791920953211273,-0.9791920953211273,0.4989828538215634,0.8403952339436209,0.917698343504795,-0.5555555555555555,0.5879104911362975,0.911111111111111,0.785411217669282,0.827840743969776
11,x,0,-0.9780296425457714,-0.9780296425457714,0.2524266201685556,0.44388259226968896,0.9504795117698341,-0.9999999999999999,0.8084277826213309,0.8222222222222221,0.3464690496948561,0.8062191223481544
12,x,0,-0.9819819819819817,-0.9819819819819817,-0.02911944202266782,0.7171752397558847,0.7815751235106072,-0.9555555555555554,0.8467887242080789,0.24444444444444444,-0.6811392037198487,0.6245277535600116
13,x,0,-0.9913978494623653,-0.9913978494623653,0.34193548387096767,0.00017436791630340013,0.9311827956989245,-0.8666666666666666,0.6625399593141528,0.5111111111111111,0.3429816913687881,0.19918628305725078
14,x,0,-0.9773321708805578,-0.9773321708805578,0.024237140366172617,-0.3848299912816041,0.9346701540249925,-0.8222222222222221,0.5913978494623654,0.8222222222222221,0.6068584713746003,0.7705318221447252
15,x,0,-0.9714036617262422,-0.9714036617262422,0.37076431269979654,0.75402499273467,0.9375762859633825,0.15555555555555553,0.8572507991862829,0.8222222222222221,0.006335367625690205,0.8607381575123509
16,x,0,-0.9808195292066259,-0.9808195292066259,0.8426038942167973,0.3947108398721301,0.9460621912234813,-0.6444444444444444,0.848183667538506,0.911111111111111,-0.1342051729148503,0.8798023830281892
17,x,0,-0.9712874164487065,-0.9712874164487065,0.6745132229003196,0.44864864864864856,0.8691078174949141,-0.6444444444444444,0.9278116826503922,0.15555555555555553,0.4844521941296134,0.6448706771287416
18,x,0,-0.9873292647486194,-0.9873292647486194,-0.3484452194129613,-0.237198488811392,0.9011915140947396,-0.9555555555555554,0.42516710258645735,0.3333333333333333,-0.07015402499273465,0.8123801220575412
19,x,0,-0.9553618134263293,-0.9553618134263293,0.5412961348445219,0.32612612612612607,0.9166521360069745,-0.9555555555555554,0.8767800058122638,0.7777777777777777,0.3303109561174077,0.7571636152281311
20,x,0,-0.9873292647486194,-0.9873292647486194,0.9302528334786397,0.3185701830863121,0.8916594013368205,-0.8666666666666666,0.8259808195292064,0.8222222222222221,0.8574832897413541,0.5863993025283346
21,x,0,-0.9814007555943038,-0.9814007555943038,-0.2514966579482708,0.784248764893926,0.9535018889857598,-0.3333333333333333,0.6015111886079627,0.6444444444444444,0.19116535890729433,0.8574832897413541
22,x,0,-0.985701830863121,-0.985701830863121,-0.04213891310665503,0.6892763731473408,0.9621040395233942,-0.6,0.6094158674803835,0.9555555555555554,0.6719558267945364,0.8888695146759662
