Realisation number,Variable,Time,Frequency,Empirical
1,x,399.0,-3.141592653589793,1.3064985220838883
1,x,399.0,-2.9845130209103035,1.5303794037735965
1,x,399.0,-2.827433388230814,1.8534368050285261
1,x,399.0,-2.6703537555513246,1.7677434592963557
1,x,399.0,-2.5132741228718345,1.4636642587491433
1,x,399.0,-2.356194490192345,1.2047708035491105
1,x,399.0,-2.199114857512855,1.4676631035644803
1,x,399.0,-2.0420352248333655,2.896790041692863
1,x,399.0,-1.884955592153876,3.5344452966274904
1,x,399.0,-1.7278759594743864,2.1240908712352953
1,x,399.0,-1.5707963267948966,1.9907679044183657
1,x,399.0,-1.413716694115407,2.6841601397332546
1,x,399.0,-1.2566370614359172,2.3299934729378684
1,x,399.0,-1.0995574287564276,1.768577043212115
1,x,399.0,-0.942477796076938,2.546952599121803
1,x,399.0,-0.7853981633974483,3.8774311898047005
1,x,399.0,-0.6283185307179586,2.990574860364039
1,x,399.0,-0.471238898038469,2.8367374022782204
1,x,399.0,-0.3141592653589793,4.183749448121164
1,x,399.0,-0.15707963267948966,2.305206959557194
1,x,399.0,0.0,0.5729184574368246
1,x,399.0,0.15707963267948966,2.305206959557194
1,x,399.0,0.3141592653589793,4.183749448121164
1,x,399.0,0.471238898038469,2.8367374022782204
1,x,399.0,0.6283185307179586,2.990574860364039
1,x,399.0,0.7853981633974483,3.8774311898047005
1,x,399.0,0.942477796076938,2.546952599121803
1,x,399.0,1.0995574287564276,1.768577043212115
1,x,399.0,1.2566370614359172,2.3299934729378684
1,x,399.0,1.413716694115407,2.6841601397332546
1,x,399.0,1.5707963267948966,1.9907679044183657
1,x,399.0,1.7278759594743864,2.1240908712352953
1,x,399.0,1.884955592153876,3.5344452966274904
1,x,399.0,2.0420352248333655,2.896790041692863
1,x,399.0,2.199114857512855,1.4676631035644803
1,x,399.0,2.356194490192345,1.2047708035491105
1,x,399.0,2.5132741228718345,1.4636642587491433
1,x,399.0,2.6703537555513246,1.7677434592963557
1,x,399.0,2.827433388230814,1.8534368050285261
1,x,399.0,2.9845130209103035,1.5303794037735965
1,x,399.0,3.141592653589793,1.3064985220838883
1,x,419.0,-3.141592653589793,0.7132680109500016
1,x,419.0,-2.9845130209103035,1.3273210774745314
1,x,419.0,-2.827433388230814,1.8394040854097309
1,x,419.0,-2.6703537555513246,1.6007487094968582
1,x,419.0,-2.5132741228718345,1.4460820034083492
1,x,419.0,-2.356194490192345,1.2418203345873888
1,x,419.0,-2.199114857512855,1.5189539208762575
1,x,419.0,-2.0420352248333655,2.2436633903964305
1,x,419.0,-1.884955592153876,2.6667594575201807
1,x,419.0,-1.7278759594743864,1.6467209629198252
1,x,419.0,-1.5707963267948966,1.6784556017255068
1,x,419.0,-1.413716694115407,2.6258469663470025
1,x,419.0,-1.2566370614359172,2.256912074134095
1,x,419.0,-1.0995574287564276,1.6924022667252785
1,x,419.0,-0.942477796076938,2.595698546652929
1,x,419.0,-0.7853981633974483,4.038467492131461
1,x,419.0,-0.6283185307179586,3.2017992593457283
1,x,419.0,-0.471238898038469,2.817122058525395
1,x,419.0,-0.3141592653589793,4.029872551373451
1,x,419.0,-0.15707963267948966,2.1362179698540005
1,x,419.0,0.0,0.5380449233313948
1,x,419.0,0.15707963267948966,2.1362179698540005
1,x,419.0,0.3141592653589793,4.029872551373451
1,x,419.0,0.471238898038469,2.817122058525395
1,x,419.0,0.6283185307179586,3.2017992593457283
1,x,419.0,0.7853981633974483,4.038467492131461
1,x,419.0,0.942477796076938,2.595698546652929
1,x,419.0,1.0995574287564276,1.6924022667252785
1,x,419.0,1.2566370614359172,2.256912074134095
1,x,419.0,1.413716694115407,2.6258469663470025
1,x,419.0,1.5707963267948966,1.6784556017255068
1,x,419.0,1.7278759594743864,1.6467209629198252
1,x,419.0,1.884955592153876,2.6667594575201807
1,x,419.0,2.0420352248333655,2.2436633903964305
1,x,419.0,2.199114857512855,1.5189539208762575
1,x,419.0,2.356194490192345,1.2418203345873888
1,x,419.0,2.5132741228718345,1.4460820034083492
1,x,419.0,2.6703537555513246,1.6007487094968582
1,x,419.0,2.827433388230814,1.8394040854097309
1,x,419.0,2.9845130209103035,1.3273210774745314
1,x,419.0,3.141592653589793,0.7132680109500016
1,x,439.0,-3.141592653589793,0.7401105309615654
1,x,439.0,-2.9845130209103035,1.3038639049689742
1,x,439.0,-2.827433388230814,1.8016713234988841
1,x,439.0,-2.6703537555513246,1.592734590663059
1,x,439.0,-2.5132741228718345,1.3720473260684023
1,x,439.0,-2.356194490192345,1.0892270037127503
1,x,439.0,-2.199114857512855,1.4128817634618231
1,x,439.0,-2.0420352248333655,1.834671400948569
1,x,439.0,-1.884955592153876,1.8598635917869817
1,x,439.0,-1.7278759594743864,1.5803976341788293
1,x,439.0,-1.5707963267948966,1.5684935545371792
1,x,439.0,-1.413716694115407,2.5288181638111045
