Realisation number,Variable,Time,Frequency,Empirical
1,x,399.0,-3.141592653589793,5.27100528434369
1,x,399.0,-2.9845130209103035,5.790890194672825
1,x,399.0,-2.827433388230814,6.587246660226894
1,x,399.0,-2.6703537555513246,6.157924517933977
1,x,399.0,-2.5132741228718345,5.046296276722329
1,x,399.0,-2.356194490192345,3.8729209187234135
1,x,399.0,-2.199114857512855,4.139022660546429
1,x,399.0,-2.0420352248333655,7.376798723508454
1,x,399.0,-1.884955592153876,8.346582093939183
1,x,399.0,-1.7278759594743864,4.79249933379581
1,x,399.0,-1.5707963267948966,4.038150978503116
1,x,399.0,-1.413716694115407,5.013593046880738
1,x,399.0,-1.2566370614359172,4.084468485680389
1,x,399.0,-1.0995574287564276,2.7640673858234126
1,x,399.0,-0.942477796076938,3.6127450361275404
1,x,399.0,-0.7853981633974483,4.974346666587667
1,x,399.0,-0.6283185307179586,3.565170786344951
1,x,399.0,-0.471238898038469,3.1417847468185722
1,x,399.0,-0.3141592653589793,4.524282484021535
1,x,399.0,-0.15707963267948966,2.414356170040525
1,x,399.0,0.0,0.6038315545979435
1,x,399.0,0.15707963267948966,2.414356170040525
1,x,399.0,0.3141592653589793,4.524282484021535
1,x,399.0,0.471238898038469,3.1417847468185722
1,x,399.0,0.6283185307179586,3.565170786344951
1,x,399.0,0.7853981633974483,4.974346666587667
1,x,399.0,0.942477796076938,3.6127450361275404
1,x,399.0,1.0995574287564276,2.7640673858234126
1,x,399.0,1.2566370614359172,4.084468485680389
1,x,399.0,1.413716694115407,5.013593046880738
1,x,399.0,1.5707963267948966,4.038150978503116
1,x,399.0,1.7278759594743864,4.79249933379581
1,x,399.0,1.884955592153876,8.346582093939183
1,x,399.0,2.0420352248333655,7.376798723508454
1,x,399.0,2.199114857512855,4.139022660546429
1,x,399.0,2.356194490192345,3.8729209187234135
1,x,399.0,2.5132741228718345,5.046296276722329
1,x,399.0,2.6703537555513246,6.157924517933977
1,x,399.0,2.827433388230814,6.587246660226894
1,x,399.0,2.9845130209103035,5.790890194672825
1,x,399.0,3.141592653589793,5.27100528434369
1,x,419.0,-3.141592653589793,2.465817764726404
1,x,419.0,-2.9845130209103035,4.847402747301116
1,x,419.0,-2.827433388230814,6.520694226284414
1,x,419.0,-2.6703537555513246,5.4497311603891605
1,x,419.0,-2.5132741228718345,4.86847366180339
1,x,419.0,-2.356194490192345,4.001659653267038
1,x,419.0,-2.199114857512855,4.287782560191728
1,x,419.0,-2.0420352248333655,5.7042190249562035
1,x,419.0,-1.884955592153876,6.343739549297315
1,x,419.0,-1.7278759594743864,3.799029072381295
1,x,419.0,-1.5707963267948966,3.5160530658077707
1,x,419.0,-1.413716694115407,4.943242000853568
1,x,419.0,-1.2566370614359172,4.023305356138455
1,x,419.0,-1.0995574287564276,2.670653221979569
1,x,419.0,-0.942477796076938,3.70583182030496
1,x,419.0,-0.7853981633974483,5.26166644755629
1,x,419.0,-0.6283185307179586,3.8847040525001013
1,x,419.0,-0.471238898038469,3.1503960318301103
1,x,419.0,-0.3141592653589793,4.404206760976506
1,x,419.0,-0.15707963267948966,2.242967109332858
1,x,419.0,0.0,0.5536510216389299
1,x,419.0,0.15707963267948966,2.242967109332858
1,x,419.0,0.3141592653589793,4.404206760976506
1,x,419.0,0.471238898038469,3.1503960318301103
1,x,419.0,0.6283185307179586,3.8847040525001013
1,x,419.0,0.7853981633974483,5.26166644755629
1,x,419.0,0.942477796076938,3.70583182030496
1,x,419.0,1.0995574287564276,2.670653221979569
1,x,419.0,1.2566370614359172,4.023305356138455
1,x,419.0,1.413716694115407,4.943242000853568
1,x,419.0,1.5707963267948966,3.5160530658077707
1,x,419.0,1.7278759594743864,3.799029072381295
1,x,419.0,1.884955592153876,6.343739549297315
1,x,419.0,2.0420352248333655,5.7042190249562035
1,x,419.0,2.199114857512855,4.287782560191728
1,x,419.0,2.356194490192345,4.001659653267038
1,x,419.0,2.5132741228718345,4.86847366180339
1,x,419.0,2.6703537555513246,5.4497311603891605
1,x,419.0,2.827433388230814,6.520694226284414
1,x,419.0,2.9845130209103035,4.847402747301116
1,x,419.0,3.141592653589793,2.465817764726404
1,x,439.0,-3.141592653589793,2.5474934515337178
1,x,439.0,-2.9845130209103035,4.650451785168715
1,x,439.0,-2.827433388230814,6.315608632175333
1,x,439.0,-2.6703537555513246,5.423730111453198
1,x,439.0,-2.5132741228718345,4.642016576981974
1,x,439.0,-2.356194490192345,3.5623798678248284
1,x,439.0,-2.199114857512855,4.011145766540075
1,x,439.0,-2.0420352248333655,4.813628374361044
1,x,439.0,-1.884955592153876,4.572911935292198
1,x,439.0,-1.7278759594743864,3.719179233471008
1,x,439.0,-1.5707963267948966,3.369634009014338
1,x,439.0,-1.413716694115407,4.74908322869052
1,x,439.0,-1.2566370614359172,4.124497659870227
1,x,439.0,-1.0995574287564276,2.7589415723751913
1,x,439.0,-0.942477796076938,3.808372168477232
1,x,439.0,-0.7853981633974483,5.634356939628107
1,x,439.0,-0.6283185307179586,3.884574949116015
1,x,439.0,-0.471238898038469,3.293406315081883
1,x,439.0,-0.3141592653589793,4.236934762653657
1,x,439.0,-0.15707963267948966,2.0713945660153885
1,x,439.0,0.0,0.4822352007224584
1,x,439.0,0.15707963267948966,2.0713945660153885
1,x,439.0,0.3141592653589793,4.236934762653657
1,x,439.0,0.471238898038469,3.293406315081883
1,x,439.0,0.6283185307179586,3.884574949116015
1,x,439.0,0.7853981633974483,5.634356939628107
1,x,439.0,0.942477796076938,3.808372168477232
1,x,439.0,1.0995574287564276,2.7589415723751913
1,x,439.0,1.2566370614359172,4.124497659870227
1,x,439.0,1.413716694115407,4.74908322869052
1,x,439.0,1.5707963267948966,3.369634009014338
1,x,439.0,1.7278759594743864,3.719179233471008
1,x,439.0,1.884955592153876,4.572911935292198
1,x,439.0,2.0420352248333655,4.813628374361044
1,x,439.0,2.199114857512855,4.011145766540075
1,x,439.0,2.356194490192345,3.5623798678248284
1,x,439.0,2.5132741228718345,4.642016576981974
1,x,439.0,2.6703537555513246,5.423730111453198
1,x,439.0,2.827433388230814,6.315608632175333
1,x,439.0,2.9845130209103035,4.650451785168715
